X,Y,G1,G2,G3
87,15,2,4,2
86,16,2,4,2
85,17,2,4,2
84,17,2,4,2
83,17,2,4,2
82,17,2,4,2
81,18,2,4,2
80,18,2,4,2
79,18,2,4,2
78,18,2,4,2
77,18,2,4,2
76,18,2,4,2
75,18,2,4,2
74,18,2,4,2
73,18,2,4,2
72,18,2,4,2
71,18,2,4,2
70,18,2,4,2
69,17,2,4,2
68,16,2,4,2
67,16,2,4,2
66,16,2,4,2
65,16,2,4,2
64,16,2,4,2
63,16,2,4,2
62,16,2,4,2
61,16,2,4,2
60,16,2,4,2
59,16,2,4,2
58,16,2,4,2
57,16,2,4,2
56,15,2,4,2
55,14,2,4,2
54,13,2,4,2
53,12,2,4,2
52,11,2,4,2
51,11,2,4,2
50,11,2,4,2
49,11,2,4,2
48,11,4,2,5
47,11,4,2,5
46,11,4,2,5
45,10,4,2,5
44,9,4,2,5
43,9,4,2,5
42,8,4,2,5
43,9,4,2,5
44,10,4,2,5
45,11,4,2,5
46,12,4,2,5
47,13,4,2,5
48,13,4,2,5
49,13,4,2,5
50,13,4,2,5
51,14,4,2,5
52,15,4,2,5
53,16,4,2,5
54,17,4,2,5
55,18,4,2,5
56,19,4,2,5
57,20,4,2,5
57,21,4,2,5
58,22,4,2,5
57,23,4,2,5
57,24,4,2,5
57,25,4,2,5
57,26,4,2,5
57,27,4,2,5
57,28,4,2,5
57,29,4,2,5
57,30,4,2,5
57,31,2,5,3
57,32,2,5,3
56,33,2,5,3
57,32,2,5,3
58,31,2,5,3
59,31,2,5,3
60,30,2,5,3
61,31,2,5,3
62,32,2,5,3
63,32,2,5,3
64,32,2,5,3
65,32,2,5,3
66,32,2,5,3
67,32,2,5,3
68,32,2,5,3
69,32,2,5,3
70,32,2,5,3
71,32,2,5,3
72,33,2,5,3
73,33,2,5,3
74,33,2,5,3
75,33,2,5,3
76,33,2,5,3
77,33,2,5,3
78,33,2,5,3
79,33,2,5,3
80,33,2,5,3
81,33,2,5,3
82,33,2,5,3
83,33,2,5,3
84,33,2,5,3
85,33,2,5,3
86,34,2,5,3
86,33,2,5,3
85,32,2,5,3
84,31,2,5,3
83,30,2,5,3
82,29,2,5,3
81,28,2,5,3
80,27,2,5,3
79,27,2,5,3
78,26,2,5,3
77,25,2,5,3
76,24,2,5,3
75,23,2,5,3
74,22,2,5,3
73,21,2,5,3
72,20,2,5,3
71,20,2,5,3
70,20,2,5,3
69,19,2,5,3
68,18,2,5,3
67,17,2,5,3
66,16,2,5,3
65,15,2,5,3
64,15,2,5,3
63,15,2,5,3
62,15,2,5,3
61,14,2,5,3
60,13,2,5,3
59,12,2,5,3
58,11,2,5,3
57,10,2,5,3
56,9,2,5,3
55,9,2,5,3
54,9,2,5,3
53,9,2,5,3
52,8,2,5,3
51,9,2,5,3
50,10,2,5,3
49,10,5,3,4
48,10,5,3,4
47,10,5,3,4
46,10,5,3,4
45,10,5,3,4
44,10,5,3,4
43,10,5,3,4
42,11,5,3,4
41,12,5,3,4
40,13,5,3,4
39,14,5,3,4
38,15,5,3,4
37,16,5,3,4
36,17,5,3,4
36,18,5,3,4
35,19,5,3,4
34,20,5,3,4
33,21,5,3,4
32,22,5,3,4
31,23,5,3,4
30,24,5,3,4
29,25,5,3,4
28,25,5,3,4
27,26,5,3,4
26,27,5,3,4
25,28,5,3,4
24,29,5,3,4
23,30,5,3,4
22,30,5,3,4
21,30,5,3,4
20,30,5,3,4
19,30,5,3,4
18,30,3,4,0
17,31,3,4,0
16,30,3,4,0
15,29,3,4,0
14,28,3,4,0
13,27,3,4,0
13,26,4,0,5
13,25,4,0,5
13,24,4,0,5
12,23,4,0,5
11,23,4,0,5
10,23,4,0,5
9,23,4,0,5
8,23,4,0,5
7,22,4,0,5
8,22,4,0,5
9,22,4,0,5
10,22,4,0,5
11,22,4,0,5
12,22,4,0,5
13,22,4,0,5
14,22,4,0,5
15,22,4,0,5
16,22,4,0,5
17,22,4,0,5
18,23,4,0,5
19,23,4,0,5
20,23,4,0,5
21,23,4,0,5
22,23,4,0,5
23,23,4,0,5
24,23,4,0,5
25,23,4,0,5
26,23,4,0,5
27,23,4,0,5
28,23,4,0,5
29,23,4,0,5
30,23,4,0,5
31,23,4,0,5
32,22,4,0,5
33,22,4,0,5
34,22,4,0,5
35,22,4,0,5
36,22,4,0,5
37,22,4,0,5
38,22,4,0,5
39,22,4,0,5
40,22,4,0,5
41,22,4,0,5
42,22,4,0,5
43,22,4,0,5
44,23,4,0,5
45,24,4,0,5
46,25,4,0,5
47,26,4,0,5
48,26,4,0,5
49,26,4,0,5
50,26,4,0,5
51,26,4,0,5
52,26,4,0,5
53,26,4,0,5
54,26,4,0,5
55,27,4,0,5
56,28,4,0,5
57,29,4,0,5
57,30,4,0,5
57,31,0,5,3
57,32,0,5,3
57,33,0,5,3
57,34,0,5,3
57,35,0,5,3
57,36,0,5,3
58,37,0,5,3
59,36,0,5,3
60,35,0,5,3
60,34,0,5,3
61,33,0,5,3
62,32,0,5,3
63,31,0,5,3
64,30,0,5,3
65,29,0,5,3
66,29,0,5,3
67,29,0,5,3
68,29,0,5,3
69,29,0,5,3
70,29,0,5,3
71,29,0,5,3
72,28,0,5,3
73,28,0,5,3
74,28,0,5,3
75,28,0,5,3
76,28,0,5,3
77,28,0,5,3
78,28,0,5,3
79,28,0,5,3
80,28,0,5,3
81,28,0,5,3
82,28,0,5,3
83,28,0,5,3
84,28,0,5,3
85,29,0,5,3
86,30,0,5,3
87,31,0,5,3
88,31,0,5,3
89,31,0,5,3
90,31,0,5,3
91,31,0,5,3
92,32,0,5,3
93,33,0,5,3
94,34,5,3,4
94,35,5,3,4
94,36,5,3,4
94,37,5,3,4
94,38,5,3,4
94,39,5,3,4
94,40,5,3,4
94,41,5,3,4
94,42,5,3,4
94,43,5,3,4
95,44,5,3,4
94,43,5,3,4
93,42,5,3,4
92,41,5,3,4
91,40,5,3,4
90,39,5,3,4
89,38,5,3,4
88,37,5,3,4
88,36,5,3,4
88,35,5,3,4
88,34,5,3,4
88,33,5,3,4
88,32,5,3,4
88,31,5,3,4
88,30,5,3,4
87,29,5,3,4
86,30,5,3,4
85,31,5,3,4
84,31,5,3,4
83,31,5,3,4
82,32,5,3,4
81,31,5,3,4
80,31,5,3,4
79,31,5,3,4
78,31,5,3,4
77,31,5,3,4
76,31,5,3,4
75,31,5,3,4
74,31,5,3,4
73,31,5,3,4
72,31,5,3,4
71,30,5,3,4
70,29,5,3,4
69,28,5,3,4
68,27,5,3,4
67,26,5,3,4
66,25,5,3,4
66,24,5,3,4
66,23,5,3,4
66,22,5,3,4
65,21,5,3,4
64,20,5,3,4
63,19,5,3,4
62,18,5,3,4
61,17,5,3,4
60,16,5,3,4
59,15,5,3,4
58,15,5,3,4
57,14,5,3,4
56,14,5,3,4
55,14,5,3,4
54,14,5,3,4
53,14,5,3,4
52,14,5,3,4
51,14,5,3,4
50,14,5,3,4
49,14,5,3,4
48,14,5,3,4
47,14,5,3,4
46,14,5,3,4
45,15,5,3,4
44,16,5,3,4
43,17,5,3,4
42,18,5,3,4
41,19,5,3,4
40,19,5,3,4
39,19,5,3,4
38,19,5,3,4
37,19,5,3,4
36,19,5,3,4
35,20,5,3,4
34,21,5,3,4
33,22,5,3,4
32,23,5,3,4
31,24,5,3,4
30,25,5,3,4
