X,Y,G1,G2,G3
46,5,0,2,4
47,5,0,2,4
48,6,0,2,4
48,5,0,2,4
47,5,0,2,4
48,6,0,2,4
49,7,0,2,4
50,8,0,2,4
51,9,0,2,4
52,10,0,2,4
53,10,0,2,4
54,11,0,2,4
55,12,0,2,4
56,13,0,2,4
57,14,0,2,4
58,15,0,2,4
59,16,0,2,4
60,17,0,2,4
60,18,0,2,4
60,19,0,2,4
61,20,0,2,4
62,21,0,2,4
63,22,0,2,4
64,23,0,2,4
65,24,0,2,4
66,25,0,2,4
67,26,0,2,4
68,26,0,2,4
69,26,0,2,4
70,27,0,2,4
71,28,0,2,4
72,29,0,2,4
73,30,0,2,4
74,30,0,2,4
75,30,0,2,4
76,30,0,2,4
77,30,0,2,4
78,30,0,2,4
79,30,0,2,4
80,30,0,2,4
81,31,0,2,4
82,32,0,2,4
83,33,0,2,4
84,34,0,2,4
85,35,0,2,4
86,36,2,4,0
87,36,2,4,0
88,36,2,4,0
89,36,2,4,0
90,37,2,4,0
91,38,2,4,0
92,39,2,4,0
93,40,2,4,0
93,41,2,4,0
93,42,2,4,0
94,43,2,4,0
93,42,2,4,0
92,41,2,4,0
91,40,2,4,0
90,39,2,4,0
89,38,2,4,0
88,37,2,4,0
87,37,2,4,0
86,37,2,4,0
85,36,2,4,0
84,35,2,4,0
83,34,2,4,0
82,33,2,4,0
81,32,2,4,0
80,32,2,4,0
79,32,2,4,0
78,32,2,4,0
77,32,2,4,0
76,32,2,4,0
75,31,2,4,0
74,30,2,4,0
73,29,2,4,0
72,28,2,4,0
71,27,2,4,0
70,26,2,4,0
69,25,2,4,0
68,25,2,4,0
67,25,2,4,0
66,24,2,4,0
65,23,2,4,0
64,22,2,4,0
63,21,2,4,0
62,20,2,4,0
61,19,2,4,0
60,18,2,4,0
59,18,2,4,0
58,18,2,4,0
57,17,2,4,0
56,16,2,4,0
55,15,2,4,0
54,14,2,4,0
53,13,2,4,0
52,12,2,4,0
51,11,2,4,0
51,10,4,0,2
51,9,4,0,2
50,8,4,0,2
49,7,4,0,2
48,6,4,0,2
47,5,4,0,2
47,4,4,0,2
47,3,4,0,2
47,2,4,0,2
46,1,4,0,2
47,2,4,0,2
47,3,4,0,2
47,4,4,0,2
47,5,4,0,2
48,6,4,0,2
49,7,4,0,2
50,8,4,0,2
51,9,4,0,2
52,10,4,0,2
52,11,4,0,2
52,12,4,0,2
52,13,4,0,2
52,14,4,0,2
52,15,4,0,2
53,16,4,0,2
54,17,4,0,2
55,18,4,0,2
56,19,4,0,2
57,20,4,0,2
57,21,4,0,2
57,22,4,0,2
57,23,4,0,2
57,24,4,0,2
57,25,4,0,2
58,26,4,0,2
59,27,4,0,2
60,28,4,0,2
60,29,4,0,2
60,30,4,0,2
60,31,4,0,2
60,32,0,2,4
60,33,0,2,4
60,34,0,2,4
60,35,0,2,4
61,36,0,2,4
60,36,0,2,4
59,36,0,2,4
58,36,0,2,4
59,35,0,2,4
60,34,0,2,4
61,33,0,2,4
62,32,0,2,4
63,31,0,2,4
64,31,0,2,4
65,31,0,2,4
66,31,0,2,4
67,30,0,2,4
68,30,0,2,4
69,30,0,2,4
70,30,0,2,4
71,30,0,2,4
72,30,0,2,4
73,30,0,2,4
74,30,0,2,4
75,30,0,2,4
76,30,0,2,4
77,30,0,2,4
78,30,0,2,4
79,30,0,2,4
80,29,0,2,4
81,30,0,2,4
82,31,0,2,4
83,32,0,2,4
84,33,0,2,4
85,34,0,2,4
86,35,0,2,4
87,35,2,4,0
88,35,2,4,0
89,36,2,4,0
90,37,2,4,0
91,38,2,4,0
92,39,2,4,0
93,40,2,4,0
94,41,2,4,0
95,42,2,4,0
95,43,2,4,0
96,44,2,4,0
95,43,2,4,0
94,42,2,4,0
93,41,2,4,0
92,40,2,4,0
91,39,2,4,0
90,38,2,4,0
89,37,2,4,0
88,37,2,4,0
87,36,2,4,0
86,35,2,4,0
85,34,2,4,0
84,33,2,4,0
83,32,2,4,0
82,31,2,4,0
81,30,2,4,0
80,30,2,4,0
79,29,2,4,0
78,28,2,4,0
77,27,2,4,0
76,26,2,4,0
75,25,2,4,0
74,24,2,4,0
73,24,2,4,0
72,24,2,4,0
71,24,2,4,0
70,24,2,4,0
69,23,2,4,0
68,22,2,4,0
67,21,2,4,0
66,20,2,4,0
65,19,2,4,0
64,18,2,4,0
63,18,2,4,0
62,18,2,4,0
61,18,2,4,0
60,17,2,4,0
59,16,2,4,0
58,15,2,4,0
57,14,2,4,0
56,13,2,4,0
55,12,2,4,0
54,11,2,4,0
53,11,2,4,0
52,11,2,4,0
51,10,4,0,2
50,9,4,0,2
49,8,4,0,2
48,7,4,0,2
47,6,4,0,2
47,5,4,0,2
47,4,4,0,2
47,3,4,0,2
46,2,4,0,2
47,3,4,0,2
47,4,4,0,2
48,5,4,0,2
49,6,4,0,2
50,7,4,0,2
51,8,4,0,2
52,9,4,0,2
52,10,4,0,2
52,11,4,0,2
52,12,4,0,2
52,13,4,0,2
53,14,4,0,2
54,15,4,0,2
55,16,4,0,2
56,17,4,0,2
56,18,4,0,2
56,19,4,0,2
56,20,4,0,2
56,21,4,0,2
56,22,4,0,2
56,23,4,0,2
56,24,4,0,2
57,25,4,0,2
58,26,4,0,2
58,27,4,0,2
58,28,4,0,2
58,29,4,0,2
58,30,4,0,2
58,31,0,2,4
58,32,0,2,4
58,33,0,2,4
58,34,0,2,4
58,35,0,2,4
58,36,0,2,4
58,37,0,2,4
59,38,0,2,4
60,38,0,2,4
61,38,0,2,4
62,38,0,2,4
63,38,0,2,4
64,38,0,2,4
65,38,0,2,4
66,38,0,2,4
67,37,0,2,4
68,37,0,2,4
69,37,0,2,4
70,37,0,2,4
71,37,0,2,4
72,37,0,2,4
73,37,0,2,4
74,37,0,2,4
75,37,0,2,4
76,37,0,2,4
77,37,0,2,4
78,37,0,2,4
79,37,0,2,4
80,37,0,2,4
81,37,0,2,4
82,38,0,2,4
83,39,0,2,4
84,40,0,2,4
85,40,2,4,0
86,40,2,4,0
87,40,2,4,0
88,40,2,4,0
89,40,2,4,0
90,40,2,4,0
91,40,2,4,0
92,41,2,4,0
92,40,2,4,0
91,39,2,4,0
90,38,2,4,0
89,37,2,4,0
88,36,2,4,0
87,35,2,4,0
86,35,2,4,0
85,34,2,4,0
84,33,2,4,0
83,32,2,4,0
82,31,2,4,0
81,30,2,4,0
80,30,2,4,0
79,30,2,4,0
78,30,2,4,0
77,30,2,4,0
76,30,2,4,0
75,29,2,4,0
74,28,2,4,0
73,27,2,4,0
72,26,2,4,0
71,25,2,4,0
70,24,2,4,0
69,24,2,4,0
68,24,2,4,0
67,24,2,4,0
66,24,2,4,0
65,23,2,4,0
64,22,2,4,0
63,21,2,4,0
62,20,2,4,0
61,19,2,4,0
60,18,2,4,0
59,17,2,4,0
58,16,2,4,0
57,15,2,4,0
56,14,2,4,0
55,13,2,4,0
54,12,2,4,0
53,11,2,4,0
52,10,2,4,0
51,9,4,0,2
51,8,4,0,2
50,7,4,0,2
49,6,4,0,2
48,5,4,0,2
47,4,4,0,2
47,3,4,0,2
46,2,4,0,2
47,3,4,0,2
48,4,4,0,2
49,5,4,0,2
50,6,4,0,2
50,7,4,0,2
50,8,4,0,2
50,9,4,0,2
50,10,4,0,2
50,11,4,0,2
51,12,4,0,2
52,13,4,0,2
53,14,4,0,2
54,15,4,0,2
54,16,4,0,2
54,17,4,0,2
54,18,4,0,2
54,19,4,0,2
54,20,4,0,2
54,21,4,0,2
54,22,4,0,2
55,23,4,0,2
56,24,4,0,2
57,25,4,0,2
57,26,4,0,2
57,27,4,0,2
57,28,4,0,2
57,29,4,0,2
57,30,4,0,2
57,31,0,2,4
57,32,0,2,4
57,33,0,2,4
57,34,0,2,4
58,35,0,2,4
59,36,0,2,4
60,37,0,2,4
61,37,0,2,4
62,38,0,2,4
63,38,0,2,4
64,38,0,2,4
65,38,0,2,4
66,38,0,2,4
67,38,0,2,4
68,38,0,2,4
69,38,0,2,4
70,38,0,2,4
71,38,0,2,4
72,38,0,2,4
73,38,0,2,4
74,38,0,2,4
75,38,0,2,4
76,39,0,2,4
77,38,0,2,4
78,37,0,2,4
79,37,0,2,4
80,37,0,2,4
81,37,0,2,4
82,37,0,2,4
83,37,0,2,4
84,37,0,2,4
85,37,0,2,4
86,36,2,4,0
87,37,2,4,0
88,38,2,4,0
89,39,2,4,0
90,40,2,4,0
91,41,2,4,0
92,41,2,4,0
93,41,2,4,0
94,42,2,4,0
93,41,2,4,0
92,40,2,4,0
91,39,2,4,0
90,38,2,4,0
89,37,2,4,0
88,36,2,4,0
87,35,2,4,0
86,34,2,4,0
85,33,2,4,0
84,32,2,4,0
83,31,2,4,0
82,30,2,4,0
81,29,2,4,0
80,29,2,4,0
79,29,2,4,0
78,29,2,4,0
77,28,2,4,0
76,27,2,4,0
75,26,2,4,0
74,25,2,4,0
73,24,2,4,0
72,23,2,4,0
71,23,2,4,0
70,23,2,4,0
69,23,2,4,0
68,22,2,4,0
67,21,2,4,0
66,20,2,4,0
65,19,2,4,0
64,18,2,4,0
63,17,2,4,0
62,17,2,4,0
61,17,2,4,0
60,17,2,4,0
59,16,2,4,0
58,15,2,4,0
57,14,2,4,0
56,13,2,4,0
55,12,2,4,0
54,11,2,4,0
53,10,2,4,0
52,10,2,4,0
51,9,4,0,2
50,8,4,0,2
49,7,4,0,2
48,6,4,0,2
47,5,4,0,2
47,4,4,0,2
47,3,4,0,2
47,2,4,0,2
46,1,4,0,2
46,2,4,0,2
46,3,4,0,2
46,4,4,0,2
46,5,4,0,2
46,6,4,0,2
47,7,4,0,2
48,8,4,0,2
49,9,4,0,2
50,10,4,0,2
51,11,4,0,2
51,12,4,0,2
51,13,4,0,2
51,14,4,0,2
51,15,4,0,2
51,16,4,0,2
52,17,4,0,2
53,18,4,0,2
54,19,4,0,2
55,20,4,0,2
56,21,4,0,2
56,22,4,0,2
56,23,4,0,2
56,24,4,0,2
56,25,4,0,2
56,26,4,0,2
57,27,4,0,2
58,28,4,0,2
58,29,4,0,2
58,30,4,0,2
