X,Y
85,20
83,21
81,24
78,26
75,28
72,30
68,32
65,34
62,37
59,39
58,43
58,40
60,39
63,37
67,36
69,33
72,31
75,29
78,27
81,24
84,22
84,20
83,21
80,23
77,25
74,27
71,29
68,31
65,33
63,36
60,38
59,42
60,40
62,37
65,35
69,33
71,30
75,29
78,26
81,24
83,21
83,24
83,28
81,31
77,32
74,34
70,35
66,36
63,38
60,40
59,42
60,38
64,37
68,36
71,33
74,31
76,28
79,26
82,23
81,23
79,26
75,28
72,30
69,32
66,34
63,36
61,39
59,42
60,40
63,38
66,36
69,34
72,32
75,30
77,27
80,25
82,22
85,20
83,24
79,25
76,27
73,29
69,31
66,33
63,35
60,37
58,41
60,40
62,37
65,35
68,33
71,31
74,29
77,27
