X,Y,G1,G2,G3
85,20,4,1,4
84,21,4,1,4
83,22,4,1,4
82,23,4,1,4
81,24,4,1,4
80,25,4,1,4
79,25,4,1,4
78,26,4,1,4
77,27,4,1,4
76,28,4,1,4
75,29,4,1,4
74,30,4,1,4
73,31,4,1,4
72,31,4,1,4
71,31,4,1,4
70,31,4,1,4
69,31,4,1,4
68,32,4,1,4
67,33,4,1,4
66,34,4,1,4
65,35,4,1,4
64,36,4,1,4
63,37,4,1,4
62,38,1,4,1
61,38,1,4,1
60,38,1,4,1
59,39,1,4,1
60,39,1,4,1
61,38,1,4,1
62,37,1,4,1
63,36,1,4,1
64,35,1,4,1
65,34,1,4,1
66,34,1,4,1
67,34,1,4,1
68,34,1,4,1
69,33,1,4,1
70,32,1,4,1
71,31,1,4,1
72,30,1,4,1
73,29,1,4,1
74,28,1,4,1
75,28,1,4,1
76,28,1,4,1
77,28,1,4,1
78,27,1,4,1
79,26,1,4,1
80,25,1,4,1
81,24,1,4,1
82,23,4,1,4
83,22,4,1,4
83,21,4,1,4
84,20,4,1,4
83,21,4,1,4
82,22,4,1,4
81,23,4,1,4
80,24,4,1,4
79,24,4,1,4
78,24,4,1,4
77,25,4,1,4
76,26,4,1,4
75,27,4,1,4
74,28,4,1,4
73,29,4,1,4
72,30,4,1,4
71,30,4,1,4
70,30,4,1,4
69,30,4,1,4
68,31,4,1,4
67,32,4,1,4
66,33,4,1,4
65,34,4,1,4
64,35,4,1,4
63,36,4,1,4
