X,Y,G1,G2,G3
9,12,2,1,3
10,12,2,1,3
11,12,2,1,3
12,12,2,1,3
13,12,2,1,3
14,11,2,1,3
15,11,2,1,3
16,12,2,1,3
17,12,2,1,3
18,11,2,1,3
19,11,2,1,3
20,11,2,1,3
21,11,2,1,3
21,12,2,1,3
22,12,2,1,3
23,11,2,1,3
24,11,2,1,3
25,11,2,1,3
26,11,2,1,3
27,11,2,1,3
28,12,2,1,3
29,12,2,1,3
30,11,2,1,3
31,11,2,1,3
32,11,2,1,3
33,11,2,1,3
34,11,2,1,3
35,11,2,1,3
36,11,2,1,3
37,11,2,1,3
38,11,2,1,3
39,11,2,1,3
40,11,2,1,3
41,11,2,1,3
42,11,1,3,0
43,11,1,3,0
44,11,1,3,0
45,11,1,3,0
46,11,1,3,0
47,11,1,3,0
48,11,1,3,0
49,11,1,3,0
50,12,1,3,0
51,12,1,3,0
52,12,1,3,0
53,12,1,3,0
54,12,1,3,0
55,13,1,3,0
56,13,1,3,0
57,13,1,3,0
58,13,1,3,0
59,13,1,3,0
60,13,1,3,0
61,13,1,3,0
62,13,1,3,0
63,14,1,3,0
64,14,1,3,0
65,14,1,3,0
66,14,1,3,0
67,14,1,3,0
68,15,1,3,0
69,15,1,3,0
70,15,1,3,0
71,15,1,3,0
72,15,1,3,0
73,15,1,3,0
74,15,1,3,0
75,15,1,3,0
76,15,1,3,0
77,15,1,3,0
78,15,1,3,0
79,15,1,3,0
80,15,3,0,1
81,15,3,0,1
82,15,3,0,1
83,15,3,0,1
84,14,3,0,1
85,14,3,0,1
86,14,3,0,1
87,14,3,0,1
88,14,3,0,1
87,15,3,0,1
86,16,3,0,1
85,17,3,0,1
84,18,3,0,1
83,19,3,0,1
82,20,3,0,1
81,21,3,0,1
81,22,3,0,1
80,23,3,0,1
80,24,3,0,1
80,25,3,0,1
80,26,3,0,1
79,27,3,0,1
78,27,3,0,1
77,27,3,0,1
76,26,3,0,1
75,26,3,0,1
74,26,3,0,1
73,26,3,0,1
72,26,3,0,1
71,26,3,0,1
70,26,3,0,1
69,26,3,0,1
68,26,3,0,1
67,26,3,0,1
66,26,3,0,1
65,27,3,0,1
64,27,3,0,1
63,27,3,0,1
62,27,3,0,1
61,27,3,0,1
60,28,3,0,1
59,28,3,0,1
58,28,3,0,1
57,28,3,0,1
56,28,3,0,1
55,29,3,0,1
54,29,3,0,1
53,29,3,0,1
52,29,3,0,1
51,29,3,0,1
50,29,3,0,1
49,29,3,0,1
48,29,3,0,1
47,29,3,0,1
46,29,3,0,1
45,29,3,0,1
44,28,3,0,1
43,28,3,0,1
42,28,3,0,1
41,28,3,0,1
40,28,3,0,1
39,27,3,0,1
38,27,3,0,1
37,28,3,0,1
36,28,3,0,1
35,27,3,0,1
34,27,3,0,1
33,27,3,0,1
32,27,3,0,1
31,27,3,0,1
30,27,3,0,1
29,27,3,0,1
28,27,3,0,1
27,26,3,0,1
26,26,3,0,1
25,26,3,0,1
24,26,3,0,1
23,26,3,0,1
22,25,3,0,1
21,25,3,0,1
20,25,3,0,1
19,25,3,0,1
19,24,3,0,1
18,23,3,0,1
17,23,3,0,1
16,23,3,0,1
15,23,3,0,1
14,23,0,1,3
13,23,0,1,3
12,22,0,1,3
11,22,0,1,3
10,22,0,1,3
9,22,0,1,3
8,23,0,1,3
8,24,0,1,3
7,25,0,1,3
8,25,0,1,3
7,25,0,1,3
8,24,0,1,3
9,23,0,1,3
10,22,0,1,3
11,21,0,1,3
12,21,0,1,3
13,20,0,1,3
14,20,0,1,3
15,20,0,1,3
16,19,0,1,3
17,19,0,1,3
18,20,0,1,3
19,20,0,1,3
20,21,0,1,3
21,21,0,1,3
22,21,0,1,3
23,21,0,1,3
24,21,0,1,3
25,22,0,1,3
26,22,0,1,3
27,23,0,1,3
28,23,0,1,3
29,24,0,1,3
30,24,0,1,3
31,25,0,1,3
32,25,0,1,3
33,25,0,1,3
34,25,0,1,3
35,25,0,1,3
36,26,0,1,3
37,26,0,1,3
38,27,0,1,3
39,27,0,1,3
40,27,0,1,3
41,27,0,1,3
42,27,0,1,3
43,28,0,1,3
44,28,0,1,3
45,28,0,1,3
46,28,0,1,3
47,28,0,1,3
48,28,0,1,3
49,28,0,1,3
50,28,0,1,3
51,28,0,1,3
