X,Y
53,30
52,30
52,29
51,29
50,29
49,29
49,28
48,28
48,27
47,27
46,27
46,26
45,26
45,25
44,25
43,25
43,24
43,23
42,23
42,22
42,21
41,21
41,20
40,20
40,19
40,18
40,17
40,16
39,16
39,15
38,15
38,14
38,13
37,13
37,12
37,11
36,11
36,10
35,10
35,9
36,9
35,9
35,8
34,8
35,8
34,8
34,9
34,10
33,10
32,10
32,11
32,12
31,12
31,13
30,13
29,13
29,14
28,14
28,15
27,15
26,15
25,15
24,15
24,16
23,16
22,16
21,16
20,16
20,17
19,17
18,17
18,18
17,18
16,18
16,19
15,19
14,19
13,19
13,20
12,20
12,21
11,21
11,22
10,22
9,22
8,23
9,22
8,22
8,23
7,23
7,24
6,24
5,24
6,23
7,23
8,23
9,22
10,22
9,22
10,22
11,22
12,22
11,22
12,22
13,22
14,22
15,22
16,22
17,22
18,22
19,22
20,22
21,22
22,22
23,22
24,22
25,22
26,22
27,22
28,22
29,22
29,21
30,21
31,21
32,21
33,21
34,21
34,20
35,20
36,20
37,20
38,20
39,20
40,19
41,19
42,19
43,19
43,20
44,20
44,19
45,19
46,19
47,19
48,19
49,19
50,19
50,20
51,20
52,20
53,20
54,20
55,20
56,20
57,20
57,21
58,21
59,21
60,21
61,21
62,21
62,22
63,22
64,22
65,22
66,22
67,22
68,22
68,23
69,23
70,23
71,23
72,23
73,23
74,23
75,23
76,23
77,23
78,22
79,22
80,22
81,22
82,23
83,24
84,25
85,26
86,27
87,28
88,29
89,30
90,31
91,32
92,33
93,34
94,35
94,36
94,37
94,38
94,39
94,40
94,41
94,42
94,43
95,44
95,43
94,43
94,42
93,42
93,41
92,41
92,40
91,40
91,39
90,39
90,38
89,38
88,38
87,38
87,37
86,37
85,37
85,36
84,36
83,36
82,36
81,36
81,35
80,35
79,35
79,34
78,34
77,34
76,34
76,33
75,33
74,33
74,32
73,32
72,32
72,31
71,31
70,31
69,31
69,30
68,30
68,29
67,29
66,28
65,28
64,28
64,27
63,27
63,26
62,26
62,25
61,25
60,24
59,24
59,23
58,23
58,22
57,22
57,21
56,21
55,21
54,21
54,20
53,20
53,19
52,19
51,19
50,19
50,18
50,19
49,19
49,18
48,18
47,18
46,18
45,18
44,18
43,18
42,18
41,18
40,18
40,17
39,17
38,18
37,18
36,18
35,18
34,18
33,18
33,17
33,16
33,15
33,14
33,13
33,12
33,11
33,10
33,9
33,10
34,11
35,11
36,11
37,11
37,12
37,13
38,13
38,14
39,14
40,14
41,14
41,15
42,15
42,16
43,16
44,16
45,16
