X,Y
58,8
58,7
58,8
58,9
58,10
58,11
58,12
58,13
58,14
59,14
59,15
59,16
59,17
58,17
58,18
58,19
59,19
59,20
59,21
59,22
58,22
58,23
58,24
59,24
59,25
59,26
59,27
59,28
59,29
59,30
59,31
58,31
58,32
58,33
58,34
57,34
57,35
57,36
56,36
56,35
55,35
55,34
55,33
55,32
55,31
55,30
55,29
55,28
55,27
56,27
56,26
56,25
56,24
56,23
56,22
55,22
55,21
54,21
54,20
53,20
53,19
52,19
51,19
50,19
49,19
48,19
47,19
47,20
46,20
45,20
45,21
44,21
44,22
43,22
43,23
43,24
43,25
43,26
42,26
42,27
41,27
40,27
39,27
39,28
38,28
37,28
36,28
35,28
34,28
33,28
32,28
31,28
30,28
29,28
28,28
27,28
27,27
26,27
25,27
24,27
23,27
22,27
21,27
20,27
20,28
19,28
18,28
17,28
17,29
16,29
15,29
14,29
15,29
14,29
14,28
14,27
14,26
15,25
16,25
16,24
17,24
17,23
18,23
19,23
19,22
20,22
21,22
22,22
22,21
23,21
24,21
24,20
25,20
26,20
27,20
27,19
28,19
29,19
29,18
30,18
31,17
32,17
32,16
33,16
33,15
34,15
34,14
35,14
36,14
36,13
37,13
37,12
38,12
38,11
39,11
39,10
40,10
40,9
41,9
41,8
42,8
43,8
44,8
44,9
45,9
46,9
46,10
46,11
47,11
47,12
48,12
49,12
49,13
50,13
50,14
51,14
51,15
52,15
52,16
53,16
54,16
54,17
54,18
55,18
55,19
56,19
56,20
57,20
57,21
56,21
56,22
56,23
56,24
55,25
55,26
55,27
54,27
54,28
53,28
52,28
52,29
51,29
50,29
49,29
48,29
47,29
46,29
45,29
45,28
44,28
43,28
42,28
41,28
40,28
40,27
39,27
38,27
38,26
37,26
36,26
36,25
35,25
34,25
34,24
33,24
32,24
32,23
31,23
30,23
30,22
29,22
28,22
27,22
27,21
26,21
25,21
24,21
24,20
23,20
22,20
21,20
21,19
20,19
19,19
18,19
17,19
16,19
16,18
15,18
14,18
13,18
12,18
11,18
10,18
9,18
8,18
7,18
6,18
5,18
5,19
6,19
7,19
8,19
9,19
10,20
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
19,21
20,21
21,21
22,21
23,21
23,22
24,22
25,22
25,23
26,23
26,24
27,24
28,24
28,25
29,25
29,26
30,26
30,27
31,27
31,28
32,28
33,28
33,29
34,29
35,29
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
43,31
44,31
45,31
46,31
47,31
47,32
48,32
49,32
50,33
51,33
52,33
53,33
53,34
54,34
55,34
55,35
56,35
57,35
57,36
58,36
59,36
60,36
61,36
62,36
63,36
63,35
64,35
65,35
66,35
66,34
65,34
65,33
64,33
64,32
63,32
63,31
62,31
62,30
61,30
61,29
61,28
60,28
60,27
59,27
59,26
59,25
58,25
58,24
58,23
58,22
58,21
57,21
57,20
57,19
57,18
57,17
57,16
56,16
56,15
56,14
56,13
56,12
56,11
55,11
55,10
55,9
55,8
54,8
53,8
52,8
52,7
51,7
50,7
49,7
48,7
47,7
46,7
45,7
45,8
44,8
43,8
42,8
41,8
40,8
40,9
39,9
38,9
37,9
37,10
36,10
35,10
34,10
33,10
33,11
32,11
31,11
30,11
30,12
29,12
28,12
27,12
26,12
25,12
24,12
23,12
23,13
22,13
21,13
20,13
19,13
18,13
17,13
17,14
16,14
15,14
14,14
13,14
12,14
11,14
11,15
10,15
9,15
8,15
7,15
6,15
6,16
5,16
5,17
4,17
3,17
3,18
4,19
5,20
6,21
7,21
8,21
9,22
10,22
10,23
11,23
12,23
13,23
13,24
14,24
15,24
16,24
17,24
18,24
19,24
20,24
21,24
22,24
23,24
24,24
25,24
26,24
27,24
28,24
29,24
30,24
30,23
31,23
32,23
33,23
34,23
35,23
36,23
36,22
37,22
38,22
39,22
40,22
41,22
41,21
42,21
43,21
44,21
44,20
45,20
46,20
47,20
48,20
48,19
49,19
50,19
51,19
51,18
52,18
53,18
54,18
55,18
55,17
56,17
57,17
58,17
59,17
60,17
61,17
61,16
62,16
63,16
64,16
65,16
66,16
67,16
68,16
69,16
70,16
71,16
71,15
72,15
73,15
74,15
75,15
76,15
77,15
78,15
79,15
80,15
80,16
81,16
82,16
83,16
83,15
84,15
85,15
86,15
87,15
88,15
89,16
90,17
91,18
92,19
92,20
92,21
92,22
92,23
92,24
92,25
92,26
92,27
92,28
92,29
92,30
92,31
92,32
92,33
92,34
92,35
92,36
92,37
92,38
93,39
93,38
92,38
92,37
91,37
91,36
90,36
90,35
89,35
88,35
87,35
86,35
86,34
85,34
84,34
83,34
82,34
81,34
81,33
80,33
79,33
78,33
77,33
76,33
75,33
74,33
73,33
72,33
71,33
70,33
69,33
68,33
67,33
66,33
65,33
64,33
63,33
62,33
62,34
61,34
60,34
59,34
59,35
58,35
57,35
57,36
56,36
56,37
55,37
54,37
53,37
52,37
51,37
50,37
50,36
49,36
48,36
48,35
47,35
47,34
46,34
45,34
45,33
44,33
44,32
44,31
43,31
43,30
43,29
42,29
42,28
42,27
42,26
42,25
42,24
41,24
41,23
41,22
41,21
41,20
41,19
41,18
41,17
41,16
41,15
41,14
41,13
41,12
40,12
39,12
38,12
38,11
37,11
36,11
35,11
35,12
34,12
33,12
32,12
31,12
30,12
30,13
29,13
28,13
28,14
27,14
26,14
25,14
24,14
23,15
22,15
21,15
21,16
20,16
19,16
18,17
17,18
16,19
15,20
14,20
13,20
12,21
13,21
14,21
14,22
15,22
16,22
16,23
17,23
18,23
19,23
20,23
21,23
22,23
23,23
24,23
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,24
32,24
33,24
34,24
35,24
35,23
36,23
37,23
38,23
39,23
40,23
41,23
42,23
43,23
44,23
45,23
44,23
44,22
45,22
45,21
46,21
46,20
47,20
48,20
49,20
49,19
50,19
51,19
52,19
53,19
54,19
55,19
56,19
57,19
58,19
59,19
60,19
61,19
61,18
62,18
62,17
63,17
64,17
64,16
65,16
66,16
67,16
68,16
69,16
70,16
71,16
71,17
72,17
73,17
73,18
74,18
75,18
75,19
76,19
77,19
77,20
78,20
79,20
79,21
80,21
81,21
81,22
82,22
83,22
84,23
85,23
86,24
86,25
87,25
87,26
88,25
88,26
89,26
90,26
90,27
90,28
91,28
92,28
92,29
92,30
92,31
91,31
91,32
91,33
91,34
91,35
91,36
91,37
92,37
92,38
93,38
93,39
94,39
94,40
94,41
94,42
95,42
95,43
95,44
95,43
95,44
96,44
95,43
94,42
93,41
92,40
91,39
90,38
90,37
90,36
90,35
90,34
90,33
90,32
90,31
90,30
90,29
90,28
90,27
90,26
90,25
89,24
89,25
89,26
89,27
89,28
89,29
89,30
90,30
90,31
90,32
90,33
91,33
91,34
91,35
92,35
91,35
92,35
92,36
92,37
91,37
90,37
89,37
88,37
88,36
87,36
86,36
85,36
85,35
84,35
84,34
83,34
82,34
81,34
81,33
80,33
79,33
79,32
78,32
77,32
76,32
76,31
75,31
74,31
74,30
73,30
72,30
72,29
71,29
70,29
70,28
69,28
68,28
68,27
67,27
66,27
66,26
65,26
64,26
64,25
63,25
62,25
62,24
61,24
60,24
60,23
59,23
58,23
57,22
56,22
56,21
55,21
54,21
54,20
53,20
53,19
53,18
52,18
52,17
51,17
51,16
50,16
50,15
49,15
49,14
48,14
48,13
47,13
47,12
46,12
46,11
45,11
45,10
44,10
44,9
43,9
42,9
41,9
41,10
40,10
40,11
40,12
39,12
39,13
39,14
39,15
39,16
39,17
40,17
40,18
40,19
41,19
41,20
42,20
42,21
43,21
43,22
44,22
44,23
45,23
45,24
45,25
46,25
46,26
46,27
47,27
47,28
47,29
48,29
48,30
48,31
49,31
49,32
50,32
50,33
50,34
51,34
51,35
51,36
52,36
52,37
51,37
50,37
49,37
49,38
48,38
47,38
46,38
45,38
45,37
44,37
43,37
42,37
41,37
40,37
40,36
39,36
38,36
37,36
37,35
36,35
35,35
34,35
34,34
33,34
32,34
32,33
31,33
30,33
29,33
28,33
27,33
27,32
26,32
25,32
24,32
23,32
22,32
22,31
21,31
20,31
19,31
18,31
17,31
16,31
15,31
15,30
14,30
14,29
13,29
13,28
12,28
12,27
12,26
11,26
11,25
10,25
10,24
9,24
9,23
8,23
8,22
7,22
7,21
6,21
5,21
5,20
4,19
4,18
3,17
3,16
4,16
5,16
5,15
6,15
7,15
8,15
9,15
10,15
10,14
11,14
12,14
13,14
14,14
15,14
16,14
17,14
18,14
19,14
20,14
21,14
22,14
23,14
24,14
25,14
26,14
27,15
28,15
29,15
29,16
30,16
31,16
32,16
33,16
33,17
34,17
35,17
36,17
36,18
37,18
38,18
39,18
39,19
40,19
41,20
42,20
42,21
43,21
44,21
44,22
44,23
45,23
45,24
46,24
46,25
46,26
47,26
47,27
48,27
48,28
49,28
50,28
50,29
51,29
51,30
52,30
53,30
53,31
54,31
55,31
56,31
56,32
57,32
58,32
58,33
59,33
60,33
61,33
62,33
63,33
63,34
64,34
65,34
66,34
67,34
68,34
69,34
70,34
70,35
71,35
72,35
73,35
74,35
75,35
76,35
76,36
77,36
78,36
79,36
80,36
81,36
81,37
82,37
82,36
83,36
83,37
84,37
85,37
86,37
87,37
88,37
88,38
89,38
90,38
91,38
92,37
93,36
94,35
95,34
96,34
95,34
96,34
95,34
95,35
95,34
95,35
95,34
95,35
95,34
96,34
95,34
95,35
95,34
95,35
95,34
96,34
95,34
96,34
96,35
95,35
96,35
95,35
96,35
95,35
95,34
96,34
95,34
95,35
96,35
95,35
96,35
