X,Y
46,1
45,1
45,2
46,2
46,3
46,4
47,4
47,5
47,6
47,7
48,7
48,6
47,6
46,6
46,7
45,7
46,7
46,8
47,8
47,9
48,9
48,10
48,11
49,11
49,12
50,12
50,13
50,14
51,14
51,15
52,15
52,16
53,16
53,17
54,17
54,18
55,18
55,19
55,20
56,20
56,21
57,21
57,22
57,23
58,23
58,24
58,25
59,25
59,26
59,27
59,28
59,29
59,30
59,31
59,32
59,33
59,34
59,35
59,36
59,37
59,38
59,39
59,40
59,41
59,40
59,39
59,38
60,38
60,37
60,36
61,36
62,36
62,35
63,35
63,34
64,34
65,34
65,33
66,33
66,32
65,32
65,31
65,30
64,30
63,30
63,29
62,29
61,29
61,28
60,28
59,28
59,27
58,27
57,27
57,26
57,25
56,25
56,24
56,23
55,23
55,22
54,22
54,21
53,21
53,20
53,19
53,18
52,18
52,17
52,16
51,16
51,15
51,14
50,14
50,13
50,12
50,11
49,11
49,10
48,10
48,9
48,8
48,7
47,7
47,6
48,6
47,6
47,5
48,5
48,6
48,7
49,7
49,8
50,8
51,8
51,9
52,9
52,10
53,10
53,11
53,12
54,12
55,12
55,13
56,13
56,14
57,14
57,15
58,15
58,16
59,16
59,17
60,17
61,17
61,18
62,18
62,19
63,19
63,20
64,20
65,20
65,21
66,21
67,21
67,22
68,22
68,23
69,23
69,24
70,24
71,24
72,24
72,25
73,25
74,25
74,26
75,26
76,26
76,27
77,27
78,27
79,28
80,28
80,29
81,29
81,30
82,30
82,31
83,31
83,32
84,32
84,33
85,33
85,34
86,34
86,35
87,35
87,36
88,36
88,37
89,37
89,38
90,38
90,39
91,39
91,40
92,40
93,40
93,41
94,41
94,42
94,43
95,43
96,43
96,44
95,44
96,44
95,44
94,43
93,43
93,42
92,42
92,41
92,40
91,40
90,40
90,39
89,39
89,38
88,38
87,38
87,37
86,37
86,36
85,36
85,35
84,35
84,34
83,34
82,34
82,33
81,33
81,32
80,32
80,31
79,31
78,31
78,30
77,30
77,29
76,29
75,29
75,28
74,28
74,27
73,27
72,27
72,26
71,26
70,26
70,25
69,25
69,24
68,24
67,24
67,23
66,23
66,22
65,22
65,21
64,21
64,20
63,20
63,19
62,19
61,19
61,18
60,18
60,17
59,17
59,16
58,16
58,15
57,15
56,15
56,14
55,14
55,13
54,13
54,12
53,12
53,11
52,11
52,10
51,10
51,9
50,9
50,8
49,8
49,7
48,7
48,6
47,6
47,5
46,4
46,3
46,2
46,3
46,4
47,4
47,3
46,3
46,2
46,3
46,4
46,3
46,2
46,3
46,4
46,5
45,5
46,5
46,6
47,6
47,7
47,8
47,9
48,9
48,10
48,11
49,11
49,12
49,13
49,14
50,14
50,15
51,15
51,16
52,16
52,17
53,17
53,18
54,18
54,19
54,20
55,20
55,21
56,21
56,22
56,23
56,24
56,25
57,25
57,26
57,27
57,28
57,29
58,29
58,30
58,31
58,32
58,33
58,34
58,35
59,35
59,36
59,37
59,38
59,39
59,40
59,41
59,42
59,41
58,41
58,40
58,39
59,39
59,38
59,37
60,37
61,37
61,36
62,36
62,35
63,35
63,36
64,36
64,37
65,37
66,37
66,38
67,38
68,38
68,39
69,39
70,39
70,40
71,40
72,40
73,40
74,40
75,40
76,40
76,39
77,39
78,39
79,39
80,39
81,39
82,39
83,39
84,39
85,39
85,40
86,40
87,40
