X,Y
46,5
46,4
46,5
48,6
48,5
47,5
48,5
47,5
48,5
47,5
49,6
51,9
54,11
56,14
58,17
61,20
64,23
67,25
70,27
74,28
77,30
81,31
84,33
87,35
90,37
93,40
95,43
94,43
92,40
89,37
85,36
82,34
79,32
75,31
72,29
69,27
66,24
63,22
60,19
57,17
54,14
52,11
50,8
47,6
46,2
46,1
46,2
47,4
48,6
50,9
52,12
53,16
55,19
56,23
58,26
59,30
62,32
61,36
60,40
59,40
58,36
61,34
64,32
67,30
71,28
76,28
80,29
84,31
86,34
89,36
91,39
94,41
96,44
93,41
90,38
87,36
85,33
82,31
79,29
75,27
72,25
69,23
66,21
63,19
60,17
56,15
54,12
51,10
49,7
46,5
46,2
45,2
46,2
48,5
48,8
51,11
53,14
55,17
56,21
57,25
57,30
58,34
59,38
60,40
63,38
67,37
72,38
76,37
81,37
85,38
89,39
92,41
95,43
94,43
92,40
91,38
87,37
85,34
81,33
78,31
75,29
72,27
69,25
65,23
63,19
60,17
57,15
55,12
52,10
50,7
47,5
46,1
46,2
47,6
49,9
51,12
52,16
54,19
55,23
56,27
57,31
58,35
59,39
59,40
62,38
67,38
71,39
76,39
81,39
83,38
86,36
90,37
93,39
94,42
92,39
89,36
86,34
83,32
80,30
77,28
74,26
71,24
68,22
65,20
62,18
59,16
57,13
54,11
51,9
49,6
47,3
46,1
47,3
47,4
47,7
49,10
51,13
52,17
54,20
56,23
57,27
58,32
59,36
59,41
61,37
65,36
69,35
73,34
76,32
79,30
83,31
85,32
82,33
83,35
87,36
90,38
93,40
94,43
94,41
92,38
90,35
87,33
84,31
81,29
78,27
74,26
71,24
68,22
65,20
62,18
58,17
56,14
53,12
50,10
48,7
