X,Y,G1,G2,G3
46,5,4,0,2
45,5,4,0,2
46,5,4,0,2
47,5,4,0,2
48,5,4,0,2
49,5,4,0,2
50,6,4,0,2
49,6,4,0,2
48,6,4,0,2
47,6,4,0,2
47,5,4,0,2
47,6,4,0,2
47,7,4,0,2
48,8,4,0,2
48,9,4,0,2
49,10,4,0,2
49,11,4,0,2
50,12,4,0,2
50,13,4,0,2
51,14,4,0,2
51,15,4,0,2
52,16,4,0,2
52,17,4,0,2
53,18,4,0,2
53,19,4,0,2
54,20,4,0,2
54,21,4,0,2
55,22,4,0,2
55,23,4,0,2
56,24,4,0,2
56,25,4,0,2
56,26,4,0,2
56,27,4,0,2
56,28,4,0,2
57,29,4,0,2
57,30,4,0,2
57,31,0,2,4
58,32,0,2,4
58,33,0,2,4
58,34,0,2,4
58,35,0,2,4
58,36,0,2,4
59,37,0,2,4
59,38,0,2,4
59,39,0,2,4
59,40,0,2,4
59,39,0,2,4
58,38,0,2,4
59,38,0,2,4
60,37,0,2,4
61,37,0,2,4
62,36,0,2,4
63,36,0,2,4
64,36,0,2,4
65,36,0,2,4
66,36,0,2,4
67,35,0,2,4
68,35,0,2,4
69,35,0,2,4
70,36,0,2,4
71,36,0,2,4
72,35,0,2,4
73,35,0,2,4
74,35,0,2,4
75,35,0,2,4
76,35,0,2,4
77,36,0,2,4
78,36,0,2,4
79,36,0,2,4
80,36,0,2,4
81,36,0,2,4
82,37,0,2,4
83,37,0,2,4
84,37,0,2,4
85,37,0,2,4
86,37,2,4,0
87,38,2,4,0
88,38,2,4,0
89,39,2,4,0
90,39,2,4,0
91,40,2,4,0
92,40,2,4,0
93,41,2,4,0
94,41,2,4,0
95,42,2,4,0
95,43,2,4,0
95,42,2,4,0
94,41,2,4,0
93,41,2,4,0
92,40,2,4,0
92,39,2,4,0
91,38,2,4,0
91,37,2,4,0
90,36,2,4,0
89,36,2,4,0
88,35,2,4,0
87,35,2,4,0
86,35,2,4,0
85,35,2,4,0
84,35,2,4,0
83,35,2,4,0
82,34,2,4,0
81,34,2,4,0
80,34,2,4,0
79,34,2,4,0
78,34,2,4,0
77,33,2,4,0
76,33,2,4,0
75,32,2,4,0
74,32,2,4,0
73,31,2,4,0
73,30,2,4,0
72,29,2,4,0
71,29,2,4,0
70,28,2,4,0
70,27,2,4,0
69,26,2,4,0
68,26,2,4,0
67,25,2,4,0
66,25,2,4,0
65,24,2,4,0
65,23,2,4,0
64,22,2,4,0
63,22,2,4,0
62,21,2,4,0
61,20,2,4,0
60,19,2,4,0
59,19,2,4,0
58,18,2,4,0
58,17,2,4,0
57,16,2,4,0
56,16,2,4,0
55,15,2,4,0
55,14,2,4,0
54,13,2,4,0
53,13,2,4,0
52,12,2,4,0
52,11,2,4,0
51,10,4,0,2
50,10,4,0,2
49,9,4,0,2
49,8,4,0,2
48,7,4,0,2
47,7,4,0,2
46,6,4,0,2
46,5,4,0,2
46,4,4,0,2
46,3,4,0,2
46,4,4,0,2
46,3,4,0,2
46,4,4,0,2
46,5,4,0,2
46,6,4,0,2
47,6,4,0,2
48,7,4,0,2
48,8,4,0,2
49,9,4,0,2
49,10,4,0,2
50,11,4,0,2
50,12,4,0,2
51,13,4,0,2
51,14,4,0,2
52,15,4,0,2
52,16,4,0,2
53,17,4,0,2
53,18,4,0,2
54,19,4,0,2
54,20,4,0,2
55,21,4,0,2
55,22,4,0,2
56,23,4,0,2
56,24,4,0,2
57,25,4,0,2
57,26,4,0,2
57,27,4,0,2
57,28,4,0,2
57,29,4,0,2
58,30,4,0,2
58,31,0,2,4
59,32,0,2,4
59,33,0,2,4
59,34,0,2,4
59,35,0,2,4
59,36,0,2,4
59,37,0,2,4
59,38,0,2,4
59,39,0,2,4
59,40,0,2,4
59,41,0,2,4
60,41,0,2,4
60,40,0,2,4
60,39,0,2,4
60,38,0,2,4
61,38,0,2,4
62,37,0,2,4
63,37,0,2,4
64,36,0,2,4
65,36,0,2,4
66,35,0,2,4
67,35,0,2,4
68,35,0,2,4
69,35,0,2,4
70,35,0,2,4
71,36,0,2,4
71,37,0,2,4
72,38,0,2,4
73,38,0,2,4
74,37,0,2,4
75,37,0,2,4
76,37,0,2,4
77,37,0,2,4
78,37,0,2,4
79,37,0,2,4
80,37,0,2,4
81,37,0,2,4
82,36,0,2,4
83,36,0,2,4
84,37,0,2,4
85,37,0,2,4
86,36,2,4,0
87,36,2,4,0
88,37,2,4,0
89,37,2,4,0
90,38,2,4,0
91,38,2,4,0
92,39,2,4,0
92,40,2,4,0
93,41,2,4,0
93,42,2,4,0
94,43,2,4,0
94,42,2,4,0
93,41,2,4,0
93,40,2,4,0
92,39,2,4,0
91,39,2,4,0
90,38,2,4,0
90,37,2,4,0
89,36,2,4,0
88,36,2,4,0
87,35,2,4,0
87,34,2,4,0
86,33,2,4,0
85,33,2,4,0
84,32,2,4,0
83,32,2,4,0
82,31,2,4,0
81,31,2,4,0
80,30,2,4,0
80,29,2,4,0
79,28,2,4,0
78,28,2,4,0
77,27,2,4,0
76,27,2,4,0
75,26,2,4,0
74,26,2,4,0
73,25,2,4,0
72,25,2,4,0
71,24,2,4,0
70,24,2,4,0
69,23,2,4,0
68,23,2,4,0
67,22,2,4,0
66,22,2,4,0
65,21,2,4,0
64,21,2,4,0
63,20,2,4,0
62,20,2,4,0
61,19,2,4,0
61,18,2,4,0
60,17,2,4,0
59,17,2,4,0
58,16,2,4,0
57,16,2,4,0
56,15,2,4,0
55,15,2,4,0
54,14,2,4,0
54,13,2,4,0
53,12,2,4,0
52,12,2,4,0
51,11,2,4,0
51,10,4,0,2
50,9,4,0,2
49,9,4,0,2
48,8,4,0,2
48,7,4,0,2
48,6,4,0,2
47,5,4,0,2
47,4,4,0,2
47,3,4,0,2
46,2,4,0,2
46,1,4,0,2
46,2,4,0,2
47,3,4,0,2
47,4,4,0,2
48,5,4,0,2
48,6,4,0,2
49,7,4,0,2
49,8,4,0,2
50,9,4,0,2
50,10,4,0,2
51,11,4,0,2
51,12,4,0,2
52,13,4,0,2
52,14,4,0,2
52,15,4,0,2
52,16,4,0,2
52,17,4,0,2
53,18,4,0,2
53,19,4,0,2
54,20,4,0,2
54,21,4,0,2
55,22,4,0,2
55,23,4,0,2
56,24,4,0,2
56,25,4,0,2
57,26,4,0,2
57,27,4,0,2
57,28,4,0,2
57,29,4,0,2
57,30,4,0,2
58,31,0,2,4
58,32,0,2,4
58,33,0,2,4
58,34,0,2,4
58,35,0,2,4
58,36,0,2,4
58,37,0,2,4
58,38,0,2,4
59,39,0,2,4
59,40,0,2,4
59,39,0,2,4
58,38,0,2,4
59,38,0,2,4
60,37,0,2,4
61,37,0,2,4
62,36,0,2,4
62,35,0,2,4
62,34,0,2,4
62,33,0,2,4
62,32,0,2,4
62,31,0,2,4
62,30,0,2,4
62,29,0,2,4
62,28,0,2,4
62,27,0,2,4
62,26,0,2,4
63,25,0,2,4
64,25,0,2,4
65,24,0,2,4
66,24,0,2,4
67,23,0,2,4
67,24,0,2,4
68,25,0,2,4
68,26,0,2,4
69,26,0,2,4
70,27,0,2,4
71,27,0,2,4
72,28,0,2,4
73,28,0,2,4
74,29,0,2,4
75,29,0,2,4
76,30,0,2,4
77,30,0,2,4
78,31,0,2,4
79,31,0,2,4
80,31,0,2,4
81,31,0,2,4
82,31,0,2,4
83,32,0,2,4
84,32,0,2,4
85,33,0,2,4
86,33,0,2,4
87,34,2,4,0
87,35,2,4,0
88,36,2,4,0
89,36,2,4,0
90,37,2,4,0
91,37,2,4,0
92,38,2,4,0
92,39,2,4,0
93,40,2,4,0
93,41,2,4,0
94,42,2,4,0
95,42,2,4,0
96,43,2,4,0
96,44,2,4,0
95,44,2,4,0
94,43,2,4,0
94,42,2,4,0
93,41,2,4,0
93,40,2,4,0
92,39,2,4,0
91,39,2,4,0
90,38,2,4,0
90,37,2,4,0
89,36,2,4,0
88,36,2,4,0
87,35,2,4,0
87,34,2,4,0
86,33,2,4,0
85,33,2,4,0
84,32,2,4,0
84,31,2,4,0
83,30,2,4,0
82,30,2,4,0
81,29,2,4,0
80,29,2,4,0
79,28,2,4,0
78,28,2,4,0
77,27,2,4,0
77,26,2,4,0
76,25,2,4,0
75,25,2,4,0
74,24,2,4,0
73,24,2,4,0
72,23,2,4,0
71,23,2,4,0
70,22,2,4,0
69,22,2,4,0
68,21,2,4,0
67,21,2,4,0
66,20,2,4,0
66,19,2,4,0
65,18,2,4,0
64,18,2,4,0
63,17,2,4,0
63,16,2,4,0
62,15,2,4,0
61,15,2,4,0
60,14,2,4,0
59,14,2,4,0
58,13,2,4,0
58,12,2,4,0
57,11,2,4,0
56,11,2,4,0
55,10,2,4,0
54,10,2,4,0
53,9,2,4,0
53,8,2,4,0
52,7,4,0,2
51,7,4,0,2
50,6,4,0,2
49,6,4,0,2
48,5,4,0,2
47,5,4,0,2
46,4,4,0,2
46,3,4,0,2
47,3,4,0,2
48,4,4,0,2
47,4,4,0,2
47,3,4,0,2
46,2,4,0,2
46,3,4,0,2
47,4,4,0,2
47,5,4,0,2
47,6,4,0,2
47,7,4,0,2
48,8,4,0,2
48,9,4,0,2
49,10,4,0,2
49,11,4,0,2
49,12,4,0,2
49,13,4,0,2
49,14,4,0,2
50,15,4,0,2
50,16,4,0,2
51,17,4,0,2
51,18,4,0,2
52,19,4,0,2
52,20,4,0,2
53,21,4,0,2
54,21,4,0,2
55,22,4,0,2
55,23,4,0,2
55,24,4,0,2
55,25,4,0,2
55,26,4,0,2
56,27,4,0,2
56,28,4,0,2
57,29,4,0,2
57,30,4,0,2
58,31,0,2,4
58,32,0,2,4
58,33,0,2,4
58,34,0,2,4
58,35,0,2,4
59,36,0,2,4
59,37,0,2,4
59,38,0,2,4
59,39,0,2,4
59,40,0,2,4
59,41,0,2,4
59,42,0,2,4
59,41,0,2,4
59,40,0,2,4
59,39,0,2,4
59,38,0,2,4
60,37,0,2,4
61,37,0,2,4
62,36,0,2,4
62,35,0,2,4
63,34,0,2,4
64,33,0,2,4
65,32,0,2,4
66,32,0,2,4
67,31,0,2,4
67,30,0,2,4
67,29,0,2,4
67,28,0,2,4
66,28,0,2,4
67,28,0,2,4
68,27,0,2,4
69,27,0,2,4
70,28,0,2,4
71,28,0,2,4
72,27,0,2,4
73,27,0,2,4
74,28,0,2,4
75,28,0,2,4
76,27,0,2,4
77,27,0,2,4
78,27,0,2,4
79,27,0,2,4
80,27,0,2,4
81,26,0,2,4
82,26,0,2,4
83,27,0,2,4
84,27,0,2,4
85,28,0,2,4
86,28,0,2,4
87,29,0,2,4
88,29,0,2,4
89,30,0,2,4
90,30,0,2,4
91,31,2,4,0
91,32,2,4,0
92,33,2,4,0
92,34,2,4,0
93,35,2,4,0
93,36,2,4,0
94,37,2,4,0
94,38,2,4,0
94,39,2,4,0
94,40,2,4,0
94,41,2,4,0
94,42,2,4,0
94,43,2,4,0
94,42,2,4,0
93,41,2,4,0
93,40,2,4,0
92,39,2,4,0
91,39,2,4,0
90,38,2,4,0
90,37,2,4,0
89,36,2,4,0
88,36,2,4,0
87,35,2,4,0
86,35,2,4,0
85,34,2,4,0
