X,Y
83,24
82,25
83,25
82,25
81,25
80,25
80,26
79,26
79,27
78,27
77,28
76,28
76,29
75,29
74,29
73,29
73,30
72,30
72,31
71,31
70,31
70,32
69,32
68,32
68,33
67,33
66,33
66,34
65,34
65,35
64,35
64,36
63,36
63,37
62,37
61,38
60,38
60,39
60,40
59,40
59,41
59,42
60,42
60,41
60,40
60,39
60,38
61,38
62,38
63,38
63,37
64,37
64,36
65,36
66,36
66,35
67,35
68,35
69,34
70,34
70,33
71,33
71,32
72,32
72,31
73,31
73,30
74,30
75,30
75,29
76,29
76,28
77,28
77,27
78,27
78,26
79,26
79,25
80,25
80,24
81,24
81,23
81,22
82,22
81,22
82,22
82,21
83,21
83,22
83,23
82,24
82,25
81,24
81,25
80,25
80,26
79,26
78,26
78,27
77,27
77,28
76,28
76,29
75,29
74,29
74,30
73,30
72,30
72,31
71,31
70,31
70,32
69,32
69,33
68,33
67,33
67,34
66,34
66,35
65,35
64,35
64,36
63,36
63,37
62,37
62,38
61,38
61,39
60,39
60,40
59,40
58,40
58,41
57,41
57,42
57,41
57,40
58,40
58,39
59,39
60,39
61,39
61,38
62,38
62,37
63,37
63,36
63,35
64,35
65,35
65,34
66,34
67,34
67,33
68,33
68,32
69,32
69,31
70,31
71,31
71,30
72,30
73,30
73,29
74,29
74,28
75,28
75,27
76,27
77,27
77,26
78,26
79,26
79,25
80,25
80,24
81,24
81,23
82,23
82,22
83,22
84,22
85,22
84,23
83,23
82,24
82,25
81,25
81,26
80,26
80,27
79,27
78,27
79,27
78,27
78,28
77,28
76,28
76,29
75,29
74,29
74,30
73,30
72,30
71,30
71,31
70,31
69,31
69,32
68,32
67,32
67,33
66,33
66,34
65,34
64,34
63,35
62,35
62,36
61,36
61,37
60,37
60,38
60,39
59,39
59,40
58,40
58,41
58,42
59,42
59,41
60,41
60,40
60,39
61,39
61,38
62,38
63,38
64,38
65,38
66,37
67,37
67,36
68,36
69,36
70,36
70,35
71,35
72,35
72,34
73,34
73,33
74,33
74,32
75,32
75,31
76,31
77,31
77,30
78,30
78,29
79,29
79,28
80,28
80,27
81,27
81,26
82,26
83,26
83,25
84,24
85,23
86,22
87,21
87,22
86,22
86,23
85,23
85,24
84,24
83,25
82,25
82,26
81,26
80,26
80,27
79,27
78,27
78,28
77,28
77,29
76,29
75,29
75,30
74,30
73,30
73,31
72,31
71,31
71,32
70,32
70,33
69,33
68,33
68,34
67,34
66,34
65,34
65,35
64,35
64,36
63,36
63,37
62,37
61,37
61,38
60,38
60,39
59,39
59,40
59,41
58,41
58,42
59,42
59,41
60,41
60,40
60,39
61,39
61,38
62,38
63,38
64,38
64,37
65,37
65,36
66,36
67,35
68,35
68,34
69,34
70,34
70,33
71,33
71,32
72,32
72,31
73,31
73,30
74,30
75,30
75,29
76,29
76,28
76,27
77,27
77,26
78,26
79,26
79,25
80,25
81,25
81,24
82,24
81,24
81,23
82,23
82,22
83,22
83,21
84,21
84,20
85,20
86,20
85,20
86,20
86,19
87,19
87,18
88,18
