X,Y
50,20
50,19
51,19
52,19
53,19
54,19
54,20
55,20
56,20
57,20
58,20
58,21
59,21
60,21
61,21
61,22
62,22
63,22
64,22
65,22
66,22
67,22
68,22
69,22
70,22
71,22
71,21
72,21
73,21
74,21
75,21
76,21
76,20
77,20
78,20
78,19
79,19
80,19
81,19
82,19
82,18
83,18
84,18
84,17
84,18
84,17
85,18
85,17
86,17
87,17
88,17
88,16
87,17
87,18
87,19
87,20
87,21
87,22
87,23
87,24
87,25
87,26
87,27
87,28
87,29
87,30
87,31
87,32
87,33
87,34
87,35
87,36
86,37
87,37
87,36
86,36
85,36
85,35
84,35
83,35
83,34
82,34
81,34
81,33
80,33
79,33
78,33
78,32
77,32
76,32
75,32
74,32
73,32
72,32
72,31
71,31
70,31
69,31
68,31
67,31
66,31
65,31
64,31
63,31
63,30
62,30
61,30
60,30
59,30
58,30
57,29
56,29
55,29
54,29
53,29
52,29
51,29
50,29
49,29
48,29
48,30
47,30
46,30
45,30
44,30
43,30
42,30
41,30
41,29
40,29
39,29
38,29
38,28
37,28
36,28
36,27
35,27
34,27
34,26
33,26
32,26
32,25
31,25
30,25
29,25
28,25
27,25
26,25
26,24
25,24
24,24
23,24
22,24
21,24
20,24
20,23
19,23
18,23
17,23
16,23
15,23
14,23
14,22
14,23
14,22
13,22
12,22
11,22
11,21
10,21
10,22
9,22
8,22
7,21
6,20
5,20
4,19
4,18
5,18
5,17
6,17
7,17
8,17
9,17
9,16
10,16
11,16
12,16
12,15
13,15
14,15
15,15
16,15
17,15
18,14
19,14
20,14
21,14
22,14
23,14
24,14
25,14
26,14
26,15
26,14
26,15
27,15
28,15
29,15
30,15
31,15
32,15
33,15
34,15
35,15
35,14
36,14
37,14
37,13
38,13
38,12
39,12
40,12
40,13
41,13
42,13
43,13
44,13
45,13
46,13
47,13
47,14
48,14
49,14
50,14
50,15
51,15
52,15
53,15
53,16
54,16
55,16
55,17
56,17
57,17
58,17
58,18
59,18
59,19
60,19
61,19
62,19
63,19
64,19
65,19
66,19
67,19
68,19
69,19
70,19
71,19
72,19
73,19
74,19
75,19
76,19
77,19
78,19
79,19
80,19
81,19
81,18
82,18
83,18
84,18
85,18
86,18
87,18
87,17
88,17
88,16
89,16
90,17
91,18
92,19
93,20
93,21
93,22
93,23
93,24
93,25
93,26
93,27
93,28
93,29
93,30
93,31
93,32
93,33
93,34
93,35
93,36
93,37
93,38
93,39
93,40
93,41
93,42
94,43
93,43
93,42
93,41
92,41
92,40
91,40
91,39
90,39
90,38
89,38
89,37
89,36
88,36
88,35
87,35
86,35
86,34
85,34
85,33
84,33
84,32
83,32
82,32
82,31
81,31
80,31
80,30
79,30
78,30
78,29
77,29
76,29
76,28
75,28
74,28
74,27
73,27
73,26
72,26
71,26
71,25
70,25
70,24
69,24
68,24
68,23
67,23
67,22
66,22
65,22
65,21
64,21
63,21
63,20
62,20
61,20
61,19
60,19
59,19
59,18
58,18
57,18
56,18
56,17
55,17
54,17
54,16
53,16
52,16
52,15
51,15
50,15
50,14
49,14
48,14
48,13
47,13
46,13
46,12
45,12
44,12
43,12
43,11
42,11
42,10
41,10
40,10
40,9
39,9
39,8
38,8
38,7
38,8
37,8
38,8
38,9
39,9
40,9
40,10
41,10
42,10
43,10
44,10
44,11
45,11
46,11
47,11
48,11
49,12
50,12
51,12
51,13
52,13
52,14
53,14
54,14
54,15
55,15
55,16
56,16
56,17
57,17
57,18
58,18
59,18
60,18
60,19
61,19
62,19
63,19
64,19
65,19
66,19
67,19
67,18
67,19
68,18
68,19
68,18
69,18
70,18
71,18
71,19
72,19
73,19
74,20
75,20
75,21
76,21
76,22
77,22
77,23
78,23
78,24
79,24
79,25
80,25
81,26
82,27
83,28
84,29
85,30
86,31
87,32
88,33
89,34
90,35
91,36
91,37
91,38
91,39
91,40
91,41
91,42
92,43
93,43
93,42
93,41
92,41
92,40
91,39
91,38
91,37
90,37
90,36
89,36
89,35
89,34
88,34
88,33
87,33
87,32
86,32
86,31
85,31
85,30
84,30
83,30
83,29
82,29
82,28
83,28
82,28
82,27
82,28
82,27
81,27
81,26
80,26
80,27
80,26
79,26
79,25
78,25
78,24
77,24
76,24
76,23
75,23
74,23
74,22
73,22
72,22
71,22
71,21
70,21
69,21
69,20
68,20
67,20
66,20
65,20
65,19
64,19
63,19
63,18
62,18
61,18
60,18
60,17
59,17
58,17
58,16
57,16
57,15
56,15
55,15
54,15
54,14
53,14
53,13
52,13
52,12
51,12
50,12
50,11
49,11
49,10
48,10
47,10
47,9
46,9
45,8
44,8
43,8
42,8
42,7
41,7
40,7
40,6
40,7
40,6
39,6
38,6
38,7
38,8
37,9
36,9
35,9
35,10
34,10
33,10
33,11
32,11
31,11
30,11
29,11
28,11
28,12
27,12
26,12
25,12
24,12
23,12
22,12
21,12
21,13
20,13
19,13
18,13
17,13
16,13
15,13
15,14
14,14
13,14
12,14
12,15
11,15
10,15
9,15
9,16
8,16
7,16
7,17
6,17
5,17
5,18
5,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
19,20
20,20
21,20
22,20
23,20
24,20
25,20
26,20
27,20
27,21
28,21
29,21
30,21
31,21
32,21
33,21
34,21
35,21
36,21
37,21
38,21
39,21
40,21
41,21
42,21
43,21
44,21
44,20
45,20
46,20
47,20
48,20
49,20
49,19
50,19
51,19
52,19
53,19
54,19
55,19
56,19
57,19
58,19
58,20
59,20
60,20
61,20
62,20
63,20
64,20
65,20
66,20
67,20
68,20
68,19
69,19
70,19
71,19
72,19
73,19
74,19
75,19
76,19
77,19
78,19
79,19
80,19
81,19
82,19
82,18
83,18
84,18
85,18
86,18
87,18
88,17
89,17
90,18
91,19
92,20
93,21
94,22
95,23
96,24
96,25
96,26
96,27
96,28
96,29
96,30
96,31
96,32
96,33
96,34
96,35
96,36
96,37
96,38
96,39
96,40
96,41
96,42
96,43
96,44
97,45
97,44
97,43
96,43
96,42
95,42
95,41
94,41
94,40
93,40
93,39
92,39
92,38
91,38
91,37
90,37
90,36
89,36
88,36
88,35
87,35
86,35
85,35
84,35
84,34
83,34
83,33
82,33
82,32
81,32
80,32
80,31
79,31
78,31
77,31
76,31
76,30
75,30
74,30
73,30
72,30
71,30
70,30
69,30
68,30
67,30
66,30
65,30
64,30
63,30
63,29
62,29
61,29
60,29
60,30
59,29
58,29
57,29
56,29
55,29
54,29
53,29
52,29
51,29
50,29
49,29
48,29
47,29
46,29
45,29
44,29
43,29
42,29
41,29
40,29
39,29
38,29
37,29
36,29
35,29
34,29
33,29
32,29
31,29
31,28
31,29
31,28
30,28
29,28
28,28
27,28
26,28
26,27
25,27
24,27
24,26
23,26
22,26
22,25
21,25
20,25
19,25
19,24
18,24
17,24
16,24
16,23
15,23
14,23
14,22
13,22
12,22
11,22
11,21
10,21
9,21
9,20
8,20
9,20
10,20
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
21,20
22,20
23,20
24,20
25,20
26,20
27,20
28,20
29,20
30,20
31,20
32,20
33,20
34,20
35,20
36,20
37,20
38,20
39,20
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,20
48,20
49,20
50,20
51,20
52,20
53,20
54,20
55,20
56,20
57,20
58,20
59,20
60,20
61,20
62,20
63,20
64,20
65,20
66,20
67,20
68,20
69,20
70,20
71,20
72,20
73,20
74,20
75,20
76,20
77,20
78,20
79,20
80,20
81,20
82,20
83,21
82,20
81,19
80,18
79,17
78,17
77,17
76,17
75,17
74,17
73,17
72,17
71,17
70,17
69,17
68,17
67,17
66,17
65,17
64,17
63,17
62,17
61,17
60,17
59,17
58,17
57,17
56,17
55,17
54,17
53,17
52,17
51,17
50,17
49,17
48,17
47,17
46,17
45,17
44,17
43,17
42,17
41,17
40,17
39,17
38,17
37,17
36,17
35,17
34,17
33,17
32,17
31,17
30,17
29,17
28,17
27,17
26,17
25,17
24,17
23,17
22,17
21,17
20,17
19,17
18,17
17,17
16,17
15,17
14,17
13,17
12,16
13,16
14,16
14,17
14,16
14,17
15,17
16,17
17,17
17,18
18,18
19,18
19,19
20,19
21,19
21,20
22,20
23,20
23,21
24,21
25,21
26,21
26,22
27,22
28,22
29,22
30,22
30,23
31,23
32,23
33,23
33,24
34,24
35,24
36,24
36,25
37,25
37,26
38,26
39,26
40,26
41,26
41,27
42,27
43,27
44,27
44,28
45,28
46,28
47,28
48,28
49,28
49,29
50,29
51,29
52,29
53,29
54,29
54,30
55,30
56,30
57,30
58,30
59,30
59,31
60,31
61,31
62,31
63,31
64,31
65,31
66,31
67,31
68,31
68,32
69,32
70,32
71,32
72,32
73,32
74,32
75,32
76,32
77,32
78,32
79,32
80,32
81,33
82,33
83,33
84,33
84,34
84,33
84,34
84,33
84,34
85,35
85,36
86,36
86,37
86,38
87,38
87,39
87,38
87,39
88,39
89,39
89,40
90,40
91,40
90,40
90,39
