X,Y,G1,G2,G3
50,20,1,3,1
51,20,1,3,1
52,19,1,3,1
53,19,1,3,1
54,20,1,3,1
55,20,1,3,1
56,20,1,3,1
57,20,1,3,1
58,20,1,3,1
59,21,1,3,1
60,21,1,3,1
61,22,1,3,1
62,22,1,3,1
63,22,1,3,1
64,22,1,3,1
65,22,1,3,1
66,22,1,3,1
67,22,1,3,1
68,22,1,3,1
69,22,1,3,1
70,22,1,3,1
71,22,1,3,1
72,21,1,3,1
73,21,1,3,1
74,21,1,3,1
75,21,1,3,1
76,21,1,3,1
77,20,1,3,1
78,20,1,3,1
79,19,1,3,1
80,19,3,1,0
81,19,3,1,0
82,19,3,1,0
83,19,3,1,0
84,18,3,1,0
84,17,3,1,0
85,17,3,1,0
86,17,3,1,0
87,17,3,1,0
88,16,3,1,0
88,17,3,1,0
88,18,3,1,0
87,19,3,1,0
87,20,3,1,0
87,21,3,1,0
87,22,3,1,0
87,23,3,1,0
87,24,3,1,0
87,25,3,1,0
87,26,3,1,0
87,27,3,1,0
87,28,3,1,0
87,29,3,1,0
87,30,3,1,0
87,31,3,1,0
87,32,3,1,0
87,33,3,1,0
87,34,3,1,0
87,35,3,1,0
87,36,3,1,0
86,37,3,1,0
86,36,3,1,0
85,36,3,1,0
84,35,3,1,0
83,35,3,1,0
82,34,3,1,0
81,34,3,1,0
80,33,3,1,0
79,33,3,1,0
78,32,3,1,0
77,32,3,1,0
76,32,3,1,0
75,32,3,1,0
74,32,3,1,0
73,32,3,1,0
72,32,3,1,0
71,32,3,1,0
70,31,3,1,0
69,31,3,1,0
68,31,3,1,0
67,31,3,1,0
66,31,3,1,0
65,31,3,1,0
64,31,3,1,0
63,31,3,1,0
62,30,3,1,0
61,30,3,1,0
60,30,3,1,0
59,30,3,1,0
58,30,3,1,0
57,30,3,1,0
56,29,3,1,0
55,29,3,1,0
54,29,3,1,0
53,29,3,1,0
52,29,3,1,0
51,29,3,1,0
50,29,3,1,0
49,29,3,1,0
48,30,3,1,0
47,30,3,1,0
46,30,3,1,0
45,30,3,1,0
44,30,3,1,0
43,30,3,1,0
42,30,3,1,0
41,30,3,1,0
40,29,3,1,0
39,29,3,1,0
38,28,3,1,0
37,28,3,1,0
36,27,3,1,0
35,27,3,1,0
34,26,3,1,0
33,26,3,1,0
32,25,3,1,0
31,25,3,1,0
30,25,3,1,0
29,25,3,1,0
28,25,3,1,0
27,25,3,1,0
26,25,3,1,0
25,25,3,1,0
24,24,3,1,0
23,24,3,1,0
22,24,3,1,0
21,24,3,1,0
20,24,3,1,0
19,23,3,1,0
18,23,3,1,0
17,23,3,1,0
16,23,3,1,0
15,23,3,1,0
14,22,1,0,2
13,22,1,0,2
12,22,1,0,2
11,21,1,0,2
10,21,1,0,2
9,22,1,0,2
8,21,1,0,2
7,21,1,0,2
6,20,1,0,2
5,19,1,0,2
4,18,1,0,2
5,18,1,0,2
6,17,1,0,2
7,17,1,0,2
8,17,1,0,2
9,17,1,0,2
10,17,1,0,2
11,16,1,0,2
12,16,1,0,2
13,15,1,0,2
14,15,1,0,2
15,15,1,0,2
16,15,1,0,2
17,15,1,0,2
18,15,1,0,2
19,14,1,0,2
20,14,1,0,2
21,14,1,0,2
22,14,1,0,2
23,14,1,0,2
24,14,1,0,2
25,14,1,0,2
26,14,1,0,2
27,14,1,0,2
28,15,1,0,2
29,15,1,0,2
30,15,1,0,2
31,15,1,0,2
32,15,1,0,2
33,15,1,0,2
34,15,1,0,2
35,15,1,0,2
36,14,1,0,2
37,14,1,0,2
38,13,1,0,2
39,13,1,0,2
40,12,1,0,2
41,12,1,0,2
42,13,1,0,2
43,13,1,0,2
44,13,1,0,2
45,13,1,0,2
46,13,1,0,2
47,14,1,0,2
48,14,1,0,2
49,14,1,0,2
50,14,1,0,2
51,14,1,0,2
52,15,1,0,2
53,15,1,0,2
54,16,1,0,2
55,16,1,0,2
56,17,1,0,2
57,17,1,0,2
58,18,1,0,2
59,18,1,0,2
60,19,1,0,2
61,19,1,0,2
62,19,1,0,2
63,19,1,0,2
64,19,1,0,2
65,19,1,0,2
66,19,1,0,2
67,19,1,0,2
68,19,1,0,2
69,19,1,0,2
70,19,1,0,2
71,19,1,0,2
72,19,1,0,2
73,19,1,0,2
74,19,1,0,2
75,19,1,0,2
76,19,1,0,2
77,19,1,0,2
78,19,1,0,2
79,19,1,0,2
80,19,0,2,0
81,19,0,2,0
82,19,0,2,0
83,18,0,2,0
84,18,0,2,0
85,18,0,2,0
86,18,0,2,0
87,18,0,2,0
88,17,0,2,0
89,17,0,2,0
90,17,0,2,0
91,18,0,2,0
92,19,0,2,0
93,20,0,2,0
93,21,0,2,0
93,22,0,2,0
93,23,0,2,0
93,24,0,2,0
93,25,0,2,0
93,26,0,2,0
93,27,0,2,0
93,28,0,2,0
93,29,0,2,0
93,30,0,2,0
93,31,0,2,0
93,32,0,2,0
93,33,0,2,0
93,34,2,0,2
93,35,2,0,2
93,36,2,0,2
93,37,2,0,2
93,38,2,0,2
93,39,2,0,2
93,40,2,0,2
93,41,2,0,2
93,42,2,0,2
93,43,2,0,2
93,42,2,0,2
92,41,2,0,2
92,40,2,0,2
91,39,2,0,2
90,39,2,0,2
89,38,2,0,2
89,37,2,0,2
88,36,2,0,2
87,36,2,0,2
86,35,2,0,2
86,34,2,0,2
85,33,2,0,2
84,33,2,0,2
83,32,2,0,2
82,32,2,0,2
81,31,2,0,2
80,31,2,0,2
79,30,2,0,2
78,30,2,0,2
77,29,2,0,2
76,29,2,0,2
75,28,2,0,2
74,28,2,0,2
73,27,2,0,2
72,27,2,0,2
71,26,2,0,2
71,25,2,0,2
70,24,2,0,2
69,24,2,0,2
68,23,2,0,2
67,23,2,0,2
66,22,2,0,2
65,22,2,0,2
64,21,2,0,2
63,21,2,0,2
62,20,2,0,2
61,20,2,0,2
60,19,2,0,2
59,19,2,0,2
58,18,2,0,2
57,18,2,0,2
56,17,2,0,2
55,17,2,0,2
54,16,2,0,2
53,16,2,0,2
52,15,2,0,2
51,15,2,0,2
50,14,2,0,2
49,14,2,0,2
48,13,2,0,2
47,13,2,0,2
46,12,2,0,2
45,12,2,0,2
44,12,2,0,2
43,12,2,0,2
43,11,2,0,2
42,10,0,2,3
41,10,0,2,3
40,9,0,2,3
39,9,0,2,3
38,8,0,2,3
37,8,0,2,3
38,8,0,2,3
39,9,0,2,3
40,9,0,2,3
41,10,0,2,3
42,10,0,2,3
43,10,0,2,3
44,10,0,2,3
45,10,0,2,3
46,11,0,2,3
47,11,0,2,3
48,11,0,2,3
49,12,0,2,3
50,12,0,2,3
51,13,0,2,3
52,13,0,2,3
53,14,0,2,3
54,14,0,2,3
55,15,0,2,3
55,16,0,2,3
56,17,0,2,3
57,17,0,2,3
58,18,0,2,3
59,18,0,2,3
60,19,0,2,3
61,19,0,2,3
62,19,0,2,3
63,19,0,2,3
64,19,0,2,3
65,19,0,2,3
66,19,0,2,3
67,19,0,2,3
68,18,0,2,3
69,18,0,2,3
70,18,0,2,3
71,18,0,2,3
72,18,0,2,3
73,19,0,2,3
74,20,0,2,3
75,21,0,2,3
76,21,0,2,3
77,22,0,2,3
77,23,0,2,3
78,24,0,2,3
79,24,0,2,3
80,25,0,2,3
81,26,0,2,3
82,27,0,2,3
83,28,0,2,3
84,29,0,2,3
85,30,0,2,3
86,31,0,2,3
87,32,0,2,3
88,33,0,2,3
89,34,0,2,3
90,35,0,2,3
90,36,2,3,1
91,37,2,3,1
91,38,2,3,1
91,39,2,3,1
91,40,2,3,1
91,41,2,3,1
91,42,2,3,1
