X,Y
95,44
95,43
95,42
94,42
94,41
93,41
93,40
93,39
92,39
92,38
91,38
91,37
90,37
89,37
89,36
88,36
88,35
87,35
87,34
86,34
85,34
84,33
83,33
83,32
82,32
82,31
81,31
80,31
80,30
79,30
78,30
78,29
77,29
77,28
76,28
76,27
76,26
75,26
75,25
75,24
74,24
74,23
73,23
73,22
72,22
72,21
71,21
71,20
71,19
70,19
69,19
69,18
68,18
68,17
67,17
67,16
66,16
65,16
65,15
64,15
64,14
63,14
62,14
61,14
60,14
60,15
59,15
59,16
59,17
58,17
58,18
57,18
57,19
57,20
56,20
56,21
56,22
56,23
55,23
55,24
55,25
55,26
55,27
55,28
55,29
55,30
55,31
54,31
55,31
55,32
55,33
55,34
55,35
55,36
56,36
56,37
55,37
54,37
54,38
53,38
52,38
51,38
50,38
49,38
48,38
47,38
46,38
45,37
44,37
43,37
43,36
42,36
41,36
40,36
39,36
39,35
38,35
37,35
37,34
36,34
35,34
34,34
33,34
33,33
32,33
31,33
30,33
29,33
29,32
28,32
27,32
26,32
25,32
24,32
23,32
22,32
21,32
20,31
19,31
18,31
17,31
16,31
15,31
14,31
14,30
13,30
13,29
12,29
12,28
11,28
11,27
10,27
10,26
9,26
9,25
8,25
8,24
7,24
6,23
6,24
7,24
8,24
8,25
9,25
10,25
11,25
12,25
13,25
14,25
15,25
15,24
16,24
17,24
18,24
19,24
20,24
21,24
21,23
22,23
23,23
24,23
25,23
25,22
26,22
27,22
28,22
29,22
30,22
31,22
32,22
32,23
33,23
34,23
35,23
36,23
37,23
38,23
39,23
40,23
41,23
42,23
43,23
44,23
44,22
45,22
45,21
46,21
47,21
47,20
48,20
48,19
48,18
48,17
47,17
47,16
47,15
46,15
46,14
46,13
45,13
45,12
45,11
44,11
44,10
44,9
43,9
43,8
44,8
44,7
45,7
46,7
47,7
47,8
48,8
48,9
49,9
49,10
50,10
50,11
51,11
51,12
52,12
52,13
53,14
53,15
54,15
54,16
55,16
55,17
56,17
57,17
57,18
58,18
58,19
59,19
60,19
61,19
61,20
62,20
62,21
63,21
64,21
64,22
65,22
66,22
66,23
67,23
67,24
68,24
68,25
69,25
69,26
69,27
70,27
70,28
71,28
71,29
72,29
72,30
73,31
74,31
74,32
75,32
75,33
76,33
77,33
77,34
78,34
79,34
79,35
80,35
81,35
82,35
83,35
83,36
84,36
85,36
86,36
86,37
87,37
88,37
89,37
89,38
90,38
91,38
92,38
93,38
92,39
93,39
93,40
94,40
94,41
94,42
95,42
95,43
96,44
95,43
94,42
93,41
92,40
91,39
90,38
90,37
90,36
90,35
90,34
90,33
90,32
90,31
90,30
90,29
90,28
90,27
90,26
90,25
90,24
90,23
90,22
90,21
90,20
89,19
88,19
88,20
87,20
86,20
86,21
85,21
84,21
83,21
82,21
81,21
80,21
79,21
78,21
78,22
77,22
76,22
75,22
75,21
74,21
73,21
73,22
72,22
71,22
70,22
69,22
68,22
68,23
67,23
66,23
65,23
64,23
63,23
62,23
61,23
60,23
59,23
59,22
58,22
57,22
56,22
56,21
56,22
55,22
55,23
55,24
55,25
55,26
55,27
55,28
55,29
55,30
55,31
55,32
55,33
55,34
56,34
56,35
56,36
55,36
54,36
53,36
52,36
51,36
51,35
50,35
50,34
49,34
48,34
48,33
47,33
47,32
46,32
45,32
45,31
44,31
44,30
43,30
42,30
42,29
41,29
40,29
40,28
39,28
38,28
37,28
36,28
36,27
35,27
34,27
34,26
33,26
32,26
31,26
31,25
30,25
29,25
28,25
28,24
27,24
26,24
26,23
25,23
24,23
23,23
22,23
21,23
21,22
20,22
19,22
19,21
18,21
17,21
16,21
15,21
15,20
14,20
13,20
12,20
11,19
10,19
9,19
8,19
8,18
7,18
6,18
5,18
4,18
5,18
4,18
3,18
4,19
5,20
6,20
7,20
8,20
9,21
10,21
10,22
11,22
12,22
13,22
13,23
14,23
15,23
16,23
17,23
18,23
19,23
20,23
21,23
22,23
22,22
23,22
24,22
25,22
25,23
26,23
27,23
28,23
29,23
30,23
31,23
32,23
33,23
34,23
35,23
36,23
37,23
38,23
39,23
40,23
40,22
41,22
42,22
42,23
43,23
43,24
44,24
45,24
45,25
46,25
46,26
47,26
47,27
48,27
49,27
49,28
50,28
51,28
52,28
53,28
54,28
54,29
55,29
56,29
57,29
58,29
59,29
60,29
61,29
62,29
63,29
63,30
64,30
65,30
66,30
67,30
68,30
69,30
69,31
70,31
71,31
72,31
73,31
74,31
74,32
75,32
76,32
77,32
77,33
78,33
79,33
80,34
81,34
82,35
83,35
83,36
84,36
85,36
85,37
86,37
87,37
87,38
88,38
89,38
90,38
90,39
91,39
90,39
91,39
90,39
91,39
92,39
92,38
91,37
90,36
89,35
88,34
87,33
86,32
85,31
84,30
83,29
83,28
83,27
83,26
83,25
83,24
82,23
81,23
80,23
79,23
78,22
77,22
77,21
76,21
75,21
74,21
74,20
73,20
73,19
72,19
71,19
71,18
70,18
69,18
69,17
68,17
67,17
67,16
66,16
65,16
65,15
64,15
63,15
62,15
61,14
61,15
60,15
59,15
59,16
58,16
58,17
57,17
57,18
57,19
57,20
57,21
56,21
56,22
56,23
56,22
55,22
55,21
54,21
54,20
53,20
53,19
52,19
52,18
51,18
50,18
50,17
49,17
49,16
48,16
48,15
47,15
47,14
46,14
46,13
45,13
45,12
45,11
44,11
44,10
43,10
43,9
44,9
43,9
43,8
43,9
42,9
42,10
41,10
41,11
41,12
41,13
41,14
41,15
40,15
40,16
41,16
41,17
41,18
42,18
42,19
42,20
42,21
43,21
43,22
43,23
44,23
44,24
45,24
45,25
45,26
46,26
46,27
46,28
47,28
47,29
48,29
49,29
49,30
50,30
50,31
51,31
51,32
52,32
52,33
53,33
53,34
54,34
54,35
55,35
55,36
56,36
56,37
56,38
55,38
55,39
54,39
53,39
52,39
51,39
50,39
50,38
49,38
48,38
47,38
46,38
46,37
45,37
44,37
43,37
42,37
41,37
40,37
40,36
39,36
38,36
37,36
36,36
35,36
34,36
33,36
33,35
32,35
31,35
30,35
29,35
29,34
28,34
27,34
27,33
26,33
26,32
25,32
24,32
24,31
23,31
22,31
22,30
21,30
21,29
20,29
19,29
19,28
18,28
18,27
17,27
16,27
16,26
15,26
15,25
14,25
13,24
14,25
13,25
13,24
12,24
12,23
11,23
11,22
10,22
10,21
9,21
8,21
8,20
7,20
6,20
6,19
5,19
5,18
4,18
3,18
3,17
4,18
5,19
6,20
7,21
8,22
9,22
10,22
11,23
12,24
13,24
14,24
14,25
15,25
16,25
17,25
18,25
19,25
19,26
20,26
21,26
22,26
23,26
24,26
25,26
26,26
27,26
28,26
29,26
30,26
30,25
31,25
32,25
33,25
34,25
35,25
36,25
37,25
37,24
38,24
39,24
40,24
40,23
41,23
42,23
43,23
43,22
43,23
42,23
43,23
43,22
42,22
42,21
42,20
43,20
43,19
43,18
43,17
43,16
43,15
43,14
43,13
43,12
43,11
43,12
42,12
42,13
41,13
41,14
40,14
40,15
40,16
40,17
40,18
41,18
41,19
41,20
41,21
42,21
42,22
42,23
43,23
43,24
43,25
44,25
44,26
45,26
46,26
46,27
47,27
47,28
48,28
48,29
49,29
49,30
50,30
51,30
51,31
51,32
52,32
52,33
53,33
53,34
53,35
54,35
54,36
55,36
55,37
55,38
56,38
57,38
58,38
59,38
59,39
60,39
61,39
61,38
62,38
63,38
64,38
65,38
66,38
67,38
68,38
69,38
70,38
71,38
72,38
73,38
74,38
75,38
75,37
76,37
77,37
78,37
79,37
80,37
81,37
82,37
83,37
84,37
85,37
85,38
86,38
87,37
88,37
88,38
89,38
90,38
91,38
91,39
92,39
93,39
93,40
94,40
94,41
94,42
95,42
95,43
96,43
96,44
97,44
96,43
95,42
94,41
93,40
92,39
91,38
90,37
89,36
88,35
87,34
86,33
86,32
86,31
86,30
86,29
86,28
86,27
86,26
86,25
86,24
86,23
86,22
86,21
86,20
86,19
86,18
86,17
86,16
86,15
85,14
85,15
85,14
84,15
83,15
82,15
83,15
82,15
81,15
80,15
80,16
79,16
78,16
77,16
76,16
76,17
75,17
74,17
73,17
72,18
71,18
70,18
69,18
68,18
67,18
66,18
65,18
64,18
63,18
63,17
62,17
61,17
60,17
60,16
59,16
58,16
58,15
57,15
57,14
56,14
56,13
55,13
55,12
54,12
54,11
54,10
53,10
53,9
52,9
52,8
51,8
51,9
51,8
51,9
52,9
51,9
52,9
53,9
53,10
