X,Y,G1,G2,G3
58,8,4,5,2
58,9,4,5,2
58,10,4,5,2
58,11,4,5,2
58,12,4,5,2
58,13,4,5,2
59,14,4,5,2
59,15,4,5,2
59,16,4,5,2
59,17,4,5,2
59,18,4,5,2
58,19,4,5,2
58,20,4,5,2
59,21,4,5,2
59,22,4,5,2
58,23,4,5,2
58,24,4,5,2
59,25,4,5,2
59,26,4,5,2
59,27,4,5,2
59,28,4,5,2
59,29,4,5,2
59,30,4,5,2
59,31,5,2,3
59,32,5,2,3
58,33,5,2,3
58,34,5,2,3
57,35,5,2,3
56,35,5,2,3
56,34,5,2,3
55,33,5,2,3
55,32,5,2,3
55,31,5,2,3
55,30,5,2,3
55,29,5,2,3
55,28,5,2,3
55,27,5,2,3
55,26,5,2,3
56,25,5,2,3
56,24,5,2,3
56,23,5,2,3
56,22,5,2,3
55,22,5,2,3
54,21,5,2,3
54,20,5,2,3
53,19,5,2,3
52,19,5,2,3
51,19,5,2,3
50,19,5,2,3
49,19,5,2,3
48,19,5,2,3
47,19,5,2,3
46,19,5,2,3
45,20,5,2,3
45,21,5,2,3
44,22,5,2,3
44,23,5,2,3
43,24,5,2,3
43,25,5,2,3
42,26,5,2,3
41,26,5,2,3
40,27,5,2,3
39,27,5,2,3
38,28,5,2,3
37,28,5,2,3
36,28,5,2,3
35,28,5,2,3
34,28,5,2,3
33,28,5,2,3
32,28,5,2,3
31,28,5,2,3
30,28,5,2,3
29,28,5,2,3
28,28,5,2,3
27,27,5,2,3
26,27,5,2,3
25,27,5,2,3
24,27,5,2,3
23,27,5,2,3
22,27,5,2,3
21,27,5,2,3
20,27,5,2,3
19,28,5,2,3
18,28,5,2,3
17,29,5,2,3
16,29,5,2,3
15,29,2,3,4
14,29,2,3,4
14,28,2,3,4
14,27,2,3,4
14,26,2,3,4
15,25,2,3,4
16,25,2,3,4
17,24,2,3,4
18,24,2,3,4
19,23,2,3,4
20,23,2,3,4
21,22,2,3,4
22,22,2,3,4
23,21,2,3,4
24,21,2,3,4
25,20,2,3,4
26,20,2,3,4
27,19,2,3,4
28,19,2,3,4
29,18,2,3,4
30,18,2,3,4
31,18,2,3,4
32,17,2,3,4
32,16,2,3,4
33,15,2,3,4
34,15,2,3,4
35,14,2,3,4
36,14,2,3,4
37,13,2,3,4
37,12,2,3,4
38,11,3,4,2
39,11,3,4,2
40,10,3,4,2
40,9,3,4,2
41,8,3,4,2
42,8,3,4,2
43,8,3,4,2
44,8,3,4,2
45,8,3,4,2
46,9,3,4,2
46,10,3,4,2
47,11,3,4,2
48,11,3,4,2
49,12,3,4,2
49,13,3,4,2
50,14,3,4,2
51,14,3,4,2
52,15,3,4,2
53,15,3,4,2
54,16,3,4,2
54,17,3,4,2
55,18,3,4,2
55,19,3,4,2
56,20,3,4,2
56,21,3,4,2
56,22,3,4,2
56,23,3,4,2
56,24,3,4,2
56,25,3,4,2
56,26,3,4,2
55,27,3,4,2
54,27,3,4,2
53,28,3,4,2
52,28,3,4,2
51,29,3,4,2
50,29,3,4,2
49,29,3,4,2
48,29,3,4,2
47,29,3,4,2
46,29,3,4,2
45,29,3,4,2
44,29,3,4,2
43,28,3,4,2
42,28,3,4,2
41,28,3,4,2
40,28,3,4,2
39,28,3,4,2
38,27,3,4,2
37,27,3,4,2
36,26,3,4,2
35,26,3,4,2
34,25,3,4,2
33,25,3,4,2
32,24,3,4,2
31,24,3,4,2
30,23,3,4,2
29,23,3,4,2
28,22,3,4,2
27,22,3,4,2
26,21,3,4,2
25,21,3,4,2
24,20,3,4,2
23,20,3,4,2
22,20,3,4,2
21,20,3,4,2
20,20,3,4,2
19,19,3,4,2
18,19,3,4,2
17,19,3,4,2
16,19,3,4,2
15,19,3,4,2
14,18,4,2,3
13,18,4,2,3
12,18,4,2,3
11,18,4,2,3
10,18,4,2,3
9,18,4,2,3
8,18,4,2,3
7,18,4,2,3
6,18,4,2,3
5,18,4,2,3
6,18,4,2,3
7,19,4,2,3
8,19,4,2,3
9,19,4,2,3
10,20,4,2,3
11,20,4,2,3
12,20,4,2,3
13,20,4,2,3
14,20,4,2,3
15,20,4,2,3
16,20,4,2,3
17,20,4,2,3
18,20,4,2,3
19,20,4,2,3
20,20,4,2,3
21,21,4,2,3
22,21,4,2,3
23,22,4,2,3
24,22,4,2,3
25,23,4,2,3
26,23,4,2,3
27,24,4,2,3
28,24,4,2,3
29,25,4,2,3
29,26,4,2,3
30,27,4,2,3
31,27,4,2,3
32,28,4,2,3
33,28,4,2,3
34,29,4,2,3
35,29,4,2,3
36,29,4,2,3
37,30,4,2,3
38,30,4,2,3
39,30,4,2,3
40,30,4,2,3
41,30,4,2,3
42,30,4,2,3
43,30,4,2,3
44,30,4,2,3
45,31,4,2,3
46,31,4,2,3
47,32,4,2,3
48,32,4,2,3
49,32,2,3,1
50,33,2,3,1
51,33,2,3,1
52,33,2,3,1
53,33,2,3,1
54,33,2,3,1
55,34,2,3,1
56,34,2,3,1
57,35,2,3,1
58,35,2,3,1
59,36,2,3,1
60,36,2,3,1
61,36,2,3,1
62,36,2,3,1
63,36,2,3,1
64,35,2,3,1
65,35,2,3,1
66,34,2,3,1
65,34,2,3,1
64,33,2,3,1
64,32,2,3,1
63,31,2,3,1
62,31,2,3,1
61,30,2,3,1
61,29,2,3,1
60,28,2,3,1
60,27,2,3,1
59,26,2,3,1
59,25,2,3,1
58,24,2,3,1
58,23,2,3,1
58,22,2,3,1
58,21,2,3,1
58,20,2,3,1
57,19,2,3,1
57,18,2,3,1
57,17,2,3,1
57,16,2,3,1
57,15,2,3,1
56,14,2,3,1
56,13,2,3,1
