X,Y,G1,G2,G3
72,29,4,1,4
72,30,4,1,4
71,31,4,1,4
70,31,4,1,4
69,32,4,1,4
68,32,4,1,4
67,33,4,1,4
66,34,4,1,4
65,35,4,1,4
65,36,4,1,4
64,37,4,1,4
63,37,4,1,4
62,38,1,4,1
62,39,1,4,1
61,40,1,4,1
61,41,1,4,1
60,42,1,4,1
61,42,1,4,1
62,41,1,4,1
62,40,1,4,1
62,39,1,4,1
62,38,1,4,1
63,38,1,4,1
64,38,1,4,1
65,37,1,4,1
66,36,1,4,1
67,35,1,4,1
68,35,1,4,1
69,35,1,4,1
70,35,1,4,1
70,34,1,4,1
71,33,1,4,1
72,33,1,4,1
73,32,1,4,1
74,32,1,4,1
75,31,1,4,1
76,30,1,4,1
77,29,1,4,1
77,28,1,4,1
78,27,1,4,1
79,26,1,4,1
80,25,1,4,1
81,25,1,4,1
82,24,4,1,4
83,23,4,1,4
83,22,4,1,4
84,21,4,1,4
85,20,4,1,4
86,20,4,1,4
87,19,4,1,4
88,18,4,1,4
88,19,4,1,4
87,20,4,1,4
86,20,4,1,4
85,21,4,1,4
85,22,4,1,4
84,23,4,1,4
83,23,4,1,4
82,24,4,1,4
81,24,4,1,4
80,25,4,1,4
80,26,4,1,4
79,27,4,1,4
78,27,4,1,4
77,28,4,1,4
76,28,4,1,4
75,29,4,1,4
74,29,4,1,4
73,30,4,1,4
72,30,4,1,4
71,31,4,1,4
71,32,4,1,4
70,33,4,1,4
69,33,4,1,4
68,34,4,1,4
67,34,4,1,4
66,35,4,1,4
65,35,4,1,4
64,36,4,1,4
63,36,4,1,4
62,37,1,4,1
61,37,1,4,1
60,38,1,4,1
60,39,1,4,1
59,40,1,4,1
59,41,1,4,1
60,42,1,4,1
60,41,1,4,1
60,40,1,4,1
60,39,1,4,1
61,39,1,4,1
62,39,1,4,1
63,38,1,4,1
64,38,1,4,1
65,38,1,4,1
66,38,1,4,1
67,38,1,4,1
68,37,1,4,1
69,37,1,4,1
70,36,1,4,1
71,36,1,4,1
72,35,1,4,1
72,34,1,4,1
73,33,1,4,1
74,33,1,4,1
75,32,1,4,1
76,32,1,4,1
77,31,1,4,1
77,30,1,4,1
78,29,1,4,1
79,29,1,4,1
78,29,1,4,1
77,30,1,4,1
76,30,1,4,1
75,31,1,4,1
74,31,1,4,1
73,31,1,4,1
72,31,1,4,1
71,32,1,4,1
70,33,1,4,1
69,33,1,4,1
68,34,1,4,1
67,34,1,4,1
66,35,1,4,1
65,35,1,4,1
64,36,1,4,1
63,36,1,4,1
62,37,1,4,1
61,37,1,4,1
60,38,1,4,1
60,39,1,4,1
59,40,1,4,1
59,41,1,4,1
58,42,1,4,1
59,42,1,4,1
59,41,1,4,1
60,40,1,4,1
60,39,1,4,1
61,38,1,4,1
62,38,1,4,1
63,37,1,4,1
64,37,1,4,1
65,36,1,4,1
66,36,1,4,1
67,35,1,4,1
67,34,1,4,1
68,33,1,4,1
69,33,1,4,1
70,32,1,4,1
70,31,1,4,1
71,30,1,4,1
72,30,1,4,1
73,29,1,4,1
74,29,1,4,1
75,28,1,4,1
75,27,1,4,1
76,26,1,4,1
77,26,1,4,1
78,25,1,4,1
79,25,1,4,1
80,24,1,4,1
80,23,1,4,1
81,22,4,1,4
82,22,4,1,4
83,21,4,1,4
82,21,4,1,4
83,21,4,1,4
84,20,4,1,4
84,21,4,1,4
84,22,4,1,4
83,23,4,1,4
83,24,4,1,4
83,25,4,1,4
82,26,4,1,4
81,26,4,1,4
80,27,4,1,4
79,27,4,1,4
78,27,4,1,4
77,28,4,1,4
76,28,4,1,4
75,29,4,1,4
75,30,4,1,4
74,31,4,1,4
73,31,4,1,4
72,32,4,1,4
71,32,4,1,4
70,33,4,1,4
69,33,4,1,4
68,34,4,1,4
67,34,4,1,4
66,35,4,1,4
65,35,4,1,4
64,36,4,1,4
63,36,4,1,4
